	Dog_1	Dog_2	Dog_3	Dog_4	Dog_5	Patient_1	Patient_2	all
SVC_ica_ampcorrcoef-theta-eig_AND_ica_lmom-4	0.538911157025	0.806645606589	0.719068985308	0.739232634004	0.78994229767	0.754253633121	0.745757575758	0.754436487316
SVC_ica_lmom-2_AND_ica_phase-high_gamma-sync	0.580965392562	0.975134761307	0.745790518825	0.779563964114	0.896243392152	0.891874569458	0.537741046832	0.813734420122
SVC_ica_ampcorrcoef-alpha-eig_AND_ica_lmom-5	0.595508780992	0.84602757214	0.658031795225	0.729768111741	0.717115628025	0.604563327202	0.579972451791	0.728059053872
SVC_ica_lmom-4_AND_ica_PSDlogfcorrcoefeig	0.519274793388	0.820485607735	0.673126205234	0.684938667115	0.789816841635	0.764686056724	0.435179063361	0.729209631077
SVC_ica_ampcorrcoef-alpha_AND_ica_ampcorrcoef-delta-eig	0.552231404959	0.733157411938	0.760239325069	0.737668607721	0.913230213685	0.836376123551	0.512892561983	0.75755177748
SVC_ica_corrcoef_AND_ica_phase-beta-dif	0.462916322314	0.930130629062	0.764425332874	0.703054579524	0.938201548656	0.649105006001	0.546887052342	0.782800548684
SVC_ica_act_AND_ica_ilingam-connweights	0.46380268595	0.74597171233	0.677578512397	0.693672117564	0.721887052342	0.621299117256	0.352286501377	0.702851188871
SVC_ica_PSDcorrcoef_AND_ica_spearman	0.499169421488	0.896835362455	0.704081783747	0.709084615339	0.935622440622	0.789545620252	0.505068870523	0.76421421764
SVC_ica_phase-alpha-sync_AND_ica_phase-theta-dif	0.482344008264	0.880527996418	0.719136248852	0.720899153484	0.940583351947	0.789409503992	0.530165289256	0.766657419452
SVC_ica_phase-beta-dif_AND_ica_pwling2	0.423650309917	0.840324087228	0.706631714876	0.718424469505	0.925654828382	0.585781650581	0.542878787879	0.753507500527
SVC_ica_ampcorrcoef-low_gamma_AND_ica_PSDlogfcorrcoefeig	0.399657541322	0.872332458247	0.637771923783	0.736057530586	0.828193358648	0.635961501587	0.560840220386	0.737574682254
SVC_ica_ampcorrcoef-low_gamma_AND_ica_ilingam-causalindex	0.446702479339	0.853826489547	0.685030130854	0.732477294997	0.817704936341	0.578636434654	0.606363636364	0.740054755215
SVC_ica_ampcorrcoef-alpha_AND_ica_ampcorrcoef-low_gamma-eig	0.478806818182	0.769550838677	0.701051136364	0.719430235089	0.920286278014	0.815668993663	0.446225895317	0.735428812508
SVC_ica_ampcorrcoef-high_gamma_AND_ica_PSDlogfcorrcoef	0.626422004132	0.858846549321	0.709275826446	0.719354741015	0.848384707021	0.83863358213	0.485068870523	0.771097043412
SVC_ica_phase-high_gamma-sync_AND_ica_phase-theta-sync	0.513162706612	0.947835377021	0.792148875115	0.757141881674	0.936867321867	0.885244819889	0.51476584022	0.811195690874
SVC_ica_PSDcorrcoefeig_AND_ica_pwling4	0.542765495868	0.85903827604	0.652154097796	0.658739260312	0.797175191721	0.697964233381	0.488760330579	0.71326532043
SVC_ica_FFTcorrcoefeig_AND_ica_psd_logf	0.543199380165	0.897657254865	0.799541379706	0.775287663307	0.921339810885	0.846880452048	0.530991735537	0.810174562563
SVC_ica_FFTcorrcoef_AND_ica_lmom-1	0.560892045455	0.768214310198	0.638501262626	0.60232716283	0.817583203038	0.438283704161	0.460192837466	0.697256256774
SVC_ica_phase-alpha-dif_AND_ica_phase-theta-sync	0.472866735537	0.863082523121	0.753647038567	0.715339501772	0.944252475616	0.818304322816	0.445495867769	0.76638145188
SVC_ica_ilingam-connweights_AND_ica_lmom-1	0.447435950413	0.722856978333	0.694935950413	0.660109082627	0.773399597945	0.59644931859	0.348484848485	0.697638927376
SVC_ica_FFTcorrcoef_AND_ica_lmom-2	0.525259297521	0.807163468235	0.62523880854	0.608589642261	0.831023006478	0.545675290519	0.470798898072	0.703115196688
SVC_ica_psd_logf_AND_ica_xcorr-ypeak	0.532577995868	0.931366200155	0.79283052112	0.756524315571	0.937696746333	0.838467875379	0.553223140496	0.811313148854
