	Dog_1	Dog_2	Dog_3	Dog_4	Dog_5	Patient_1	Patient_2	all
SVC_csp_act	0.483924328512	0.865867233638	0.662193669651	0.722995775862	0.799704787432	0.697570635412	0.618712121212	0.741076565463
SVC_csp_PSDcorrcoefeig	0.483358341942	0.580153807941	0.611156006084	0.68136026204	0.495587912292	0.782590589631	0.424046143251	0.662842111909
SVC_csp_ampcorrcoef-low_gamma-eig	0.452259555785	0.730403159916	0.700278509527	0.653047901301	0.626225243839	0.703015335865	0.336838842975	0.675050950793
SVC_ica_spearman	0.554523760331	0.948405615858	0.74944323921	0.730967412724	0.937900193582	0.732063421149	0.613925619835	0.80236699023
SVC_ica_ampcorrcoef-alpha-eig	0.556316503099	0.677183840232	0.534285037879	0.696435623832	0.713878155015	0.644042978133	0.521439393939	0.666371353099
SVC_ica_ilingam-connweights	0.477765754132	0.747492283878	0.680033244376	0.663540691681	0.711789144516	0.574230759762	0.404090909091	0.695933919096
SVC_ica_corrcoef	0.561065082645	0.949314668039	0.77172114612	0.711842389956	0.946223289405	0.652817309909	0.556280991736	0.807086856791
SVC_ica_phase-theta-dif	0.512350981405	0.81561386388	0.67284716483	0.717210487197	0.801178988906	0.833690923983	0.615086088154	0.731554089401
SVC_csp_xcorr-tpeak	0.49179803719	0.656595931236	0.644499698691	0.650895309572	0.533943768148	0.696255866769	0.481704545455	0.638379824059
SVC_csp_pwling2	0.505599690083	0.818272808202	0.665641615014	0.642541090755	0.797466960762	0.369919195322	0.461742424242	0.698177231265
SVC_ica_FFTcorrcoefeig	0.519465392562	0.580346710754	0.626347480487	0.563811552766	0.511837446951	0.43152611943	0.383209366391	0.635437106424
SVC_ica_var	0.613235666322	0.781941828483	0.638780145202	0.567398946518	0.86641994267	0.51822646447	0.476580578512	0.686351282953
SVC_ica_ampcorrcoef-low_gamma	0.444799974174	0.835753507423	0.680480486685	0.758349961301	0.812722340109	0.652075557013	0.663199035813	0.743886898281
SVC_raw_ampcorrcoef-high_gamma-eig	0.574458677686	0.759915062458	0.705848154844	0.713799116167	0.557029912144	0.4076715054	0.588829201102	0.712604684421
SVC_csp_ampcorrcoef-beta-eig	0.454896306818	0.527550580475	0.545605486685	0.746551509496	0.670778423051	0.597996951923	0.376466942149	0.633395146417
SVC_ica_phase-high_gamma-sync	0.621868543388	0.978923817174	0.752392174587	0.799095534303	0.908265393493	0.88841460339	0.533250688705	0.824703994889
SVC_csp_phase-beta-dif	0.489739669421	0.839999545139	0.69443176079	0.747628227275	0.861485648872	0.824114490258	0.602637741047	0.754432027079
SVC_ica_pwling1	0.442091683884	0.837381258694	0.688663581841	0.664787890292	0.789255267664	0.324649825378	0.427909779614	0.679317607264
SVC_ica_ilingam-causalindex	0.581248966942	0.62171586702	0.596978535354	0.579843065659	0.534076483508	0.271575686718	0.448560606061	0.637721122394
SVC_csp_ampcorrcoef-low_gamma	0.461779313017	0.811033925077	0.72285508494	0.71498228962	0.798071532276	0.707978670063	0.535702479339	0.740360540174
SVC_ica_ilingam-causalorder	0.576757747934	0.590073750142	0.499127510904	0.569707804215	0.513912311071	0.522960562345	0.470867768595	0.617185535851
SVC_ica_phase-high_gamma-dif	0.507878744835	0.913894813874	0.712443440083	0.776483841896	0.87575580746	0.777509034343	0.586887052342	0.791145217559
SVC_raw_corrcoefeig	0.52707463843	0.69486071932	0.673575484963	0.527449325294	0.674478538456	0.396706818302	0.602957988981	0.638751863565
SVC_csp_ampcorrcoef-high_gamma	0.527952221074	0.824360939394	0.744083103765	0.763098001703	0.80330169012	0.67679389808	0.521597796143	0.76988432313
SVC_ica_lmom-3	0.512212293388	0.814182347401	0.600084524219	0.689924231408	0.64779995905	0.677471248631	0.612341597796	0.681622550845
SVC_ica_PSDlogfcorrcoef	0.717595557851	0.865036477544	0.636755165289	0.685888503091	0.867189524235	0.873227134015	0.494965564738	0.752116762163
SVC_raw_pib_ratio	0.593376936983	0.847369941926	0.770466884757	0.800621142168	0.77417997543	0.710829787451	0.528419421488	0.787339360965
SVC_ica_phase-low_gamma-dif	0.482805785124	0.895045452577	0.671541221878	0.778594908827	0.852502512843	0.732931426664	0.460330578512	0.769670135678
SVC_csp_pib_ratio	0.629125129132	0.871022166885	0.746648444674	0.791495666144	0.792123818033	0.78590198113	0.528085399449	0.789202461006
SVC_raw_ampcorrcoef-delta-eig	0.581069214876	0.605034861219	0.690783258724	0.660554065277	0.795172455513	0.519101825964	0.612245179063	0.682033445923
SVC_raw_lmom-3	0.500881714876	0.787483612664	0.638272469008	0.700692089895	0.626771926886	0.745152785184	0.705247933884	0.684265980851
SVC_raw_pwling2	0.527037448347	0.908179698562	0.7009418618	0.720818298767	0.795589029112	0.691962151837	0.730282369146	0.752945291169
SVC_ica_PSDcorrcoefeig	0.501274535124	0.522799418396	0.601113162879	0.663561315976	0.485844036185	0.803447567183	0.263732782369	0.636277215686
SVC_raw_ilingam-causalindex	0.456352143595	0.533990842827	0.549241190312	0.634110706713	0.466385042067	0.461233615683	0.415654269972	0.61815088439
SVC_raw_pwling1	0.51828008781	0.834454586859	0.669734647612	0.682130624123	0.707172958082	0.649174974419	0.438980716253	0.68704808121
SVC_csp_pwling4	0.561920325413	0.787119211949	0.623820649679	0.643650247078	0.81557832626	0.476068898801	0.489555785124	0.68544027393
SVC_raw_mvar-H	0.614754907025	0.898839796803	0.783299701561	0.758419802899	0.879734103939	0.776513425112	0.487527548209	0.803835399262
SVC_ica_mvar-DC	0.479139721074	0.954930643922	0.799190398301	0.796289439712	0.942825552826	0.820407302055	0.504173553719	0.8234523585
SVC_csp_coher_logf	0.546808367769	0.957900105382	0.826422248049	0.765665226781	0.929695387536	0.822500153124	0.571246556474	0.830119997868
SVC_raw_mvar-Hphs	0.465525309917	0.822322581077	0.776993801653	0.760157435077	0.850020102747	0.643399329975	0.505585399449	0.781076502103
SVC_csp_var	0.575996771694	0.85526738202	0.681304034665	0.626088614608	0.917838675452	0.439099475053	0.599070247934	0.740061683841
SVC_raw_ilingam-connweights	0.48404803719	0.584502437259	0.630167097107	0.656398535574	0.620120244211	0.459262663693	0.561670110193	0.650190252161
SVC_raw_mvar-DTFphs	0.465525309917	0.822322581077	0.776993801653	0.760157435077	0.850020102747	0.643399329975	0.505585399449	0.781076502103
SVC_csp_corrcoef	0.454351110537	0.901008862634	0.730862632002	0.66687275517	0.892192688556	0.642020459229	0.493977272727	0.763707379116
SVC_csp_mvar-PCOH	0.53771526343	0.950083835231	0.787363937672	0.809508421537	0.948194940809	0.766305202869	0.562954545455	0.825075553882
SVC_raw_cov	0.53121293905	0.908191438074	0.776367395546	0.644633478097	0.910233787507	0.308375097279	0.623312672176	0.767769207148
SVC_csp_lmom-2	0.599060304752	0.874116527063	0.72787630567	0.625223808749	0.935630630631	0.635589607233	0.588119834711	0.762017488147
SVC_ica_ampcorrcoef-delta-eig	0.448398502066	0.668147740421	0.786871283861	0.695032797981	0.755275761298	0.801155804438	0.487379476584	0.744917592825
