	Dog_1	Dog_2	Dog_3	Dog_4	Dog_5	Patient_1	Patient_2	all
SVC_np_raw_phase-theta-dif	0.485845486111	0.775971501356	0.721236062886	0.695986224683	0.672001376376	0.820257295628	0.516921296296	0.716198656019
SVC_np_raw_pib_ratioBB	0.639198784722	0.880579656733	0.790955198688	0.777972741285	0.838999624625	0.720833879686	0.501967592593	0.804969342732
SVC_np_csp_PSDcorrcoefeig	0.485469618056	0.617775116665	0.580954282407	0.674646197658	0.493907032032	0.8012424057	0.390578703704	0.662488140129
SVC_np_ica_phase-delta-dif	0.572182291667	0.851141483878	0.670055748457	0.706729595784	0.825985047548	0.817262373064	0.544583333333	0.749914156382
SVC_np_raw_PSDcorrcoef	0.536586805556	0.753070039346	0.736077449846	0.68884536096	0.724912412412	0.644153299241	0.576041666667	0.729628229268
SVC_np_ica_ampcorrcoef-low_gamma	0.3988125	0.81620481998	0.670842544367	0.780442199525	0.804258008008	0.705753638708	0.626226851852	0.747447123407
SVC_np_ica_ilingam-causalorder	0.559019097222	0.56862031561	0.521771122685	0.51335375348	0.468629254254	0.439193692906	0.528923611111	0.610368216377
SVC_np_ica_ampcorrcoef-alpha	0.502700520833	0.760016896314	0.664203510802	0.747924322861	0.826178991491	0.856117145272	0.425208333333	0.728078482148
SVC_np_raw_lmom-5	0.436357638889	0.771447529191	0.628750337577	0.660269099603	0.626939439439	0.452095808383	0.651851851852	0.673803000722
SVC_np_raw_ampcorrcoef-alpha	0.591311631944	0.814787317576	0.687543065201	0.682228739866	0.727623248248	0.69164954762	0.380810185185	0.727258753364
SVC_np_ica_pwling5	0.464965277778	0.663960030933	0.472005835262	0.66289059794	0.480816754254	0.317549208153	0.533460648148	0.641514360502
SVC_np_raw_act	0.390065538194	0.794996564171	0.694143759645	0.717519581963	0.796202452452	0.805077800603	0.559583333333	0.740542746994
SVC_np_ica_ampcorrcoef-high_gamma-eig	0.523115451389	0.669518914901	0.765229986497	0.75109573599	0.698768143143	0.669856454973	0.362962962963	0.741071807496
SVC_np_raw_ampcorrcoef-beta-eig	0.552403645833	0.774706994562	0.639826244213	0.733059784265	0.551119557057	0.588862421143	0.464305555556	0.699574234249
SVC_np_csp_ampcorrcoef-low_gamma-eig	0.441743055556	0.7225545056	0.692589891975	0.67769439667	0.540291228729	0.642550665093	0.33525462963	0.688421758777
SVC_np_csp_phase-alpha-dif	0.512918402778	0.78495442581	0.644809847608	0.705911705522	0.724346846847	0.811468304267	0.487152777778	0.699821090047
SVC_np_csp_phase-theta-dif	0.445641493056	0.817679734776	0.710122974537	0.708567746282	0.755120432933	0.82161316054	0.542106481481	0.727900603639
SVC_np_csp_ampcorrcoef-alpha	0.591391493056	0.773021332171	0.695726417824	0.726210053857	0.661600663163	0.849093783236	0.469201388889	0.723427685367
SVC_np_raw_psd_logf	0.554869357639	0.844246184361	0.82188208912	0.770014111644	0.932819069069	0.670753383743	0.459583333333	0.812904637655
SVC_np_raw_ampcorrcoef-low_gamma-eig	0.499111111111	0.826875132077	0.682223668981	0.695983069068	0.606124562062	0.489194967729	0.496921296296	0.710910375439
SVC_np_csp_PSDlogfcorrcoefeig	0.434052951389	0.507864939784	0.605403549383	0.60079591686	0.542571008509	0.582628538543	0.328657407407	0.627096069323
SVC_np_raw_PSDcorrcoefeig	0.457256944444	0.584132737596	0.597683159722	0.643633848353	0.4873119995	0.512814699069	0.674490740741	0.635098621014
SVC_np_raw_ampcorrcoef-delta-eig	0.567549913194	0.6173547676	0.66757894483	0.639309521594	0.806475850851	0.498489335198	0.604282407407	0.685840428401
SVC_np_ica_spearman	0.524899305556	0.937320567704	0.771083622685	0.73037025167	0.934728478478	0.702599363317	0.598784722222	0.810420903452
SVC_np_raw_phase-beta-sync	0.508661892361	0.89488316507	0.727231336806	0.731793239997	0.918308933934	0.791964428807	0.448634259259	0.77313619332
SVC_np_raw_phase-high_gamma-sync	0.557813802083	0.956854182725	0.75965861304	0.800174070549	0.899419106607	0.645944425019	0.430648148148	0.823506133348
SVC_np_raw_xcorr-twidth	0.482856336806	0.822068800706	0.710317177855	0.715161741647	0.829995620621	0.576468413538	0.541747685185	0.749900075039
SVC_np_raw_phase-beta-dif	0.405513888889	0.890023369072	0.693395929784	0.67590495772	0.749370620621	0.618979194895	0.474826388889	0.731685599881
SVC_np_csp_xcorr-tpeak	0.486986111111	0.659480787979	0.602550250772	0.66222393513	0.498608921421	0.639671387153	0.556064814815	0.642852348733
SVC_np_csp_phase-low_gamma-sync	0.530770399306	0.950417763915	0.742748746142	0.811165526397	0.883512575075	0.799390270554	0.461689814815	0.814415738202
SVC_np_csp_phase-theta-sync	0.508868923611	0.865819581163	0.778979504244	0.715329749094	0.915310935936	0.812444454157	0.50375	0.785195992129
SVC_np_raw_phase-alpha-sync	0.539392795139	0.848686407506	0.760670524691	0.722507280704	0.912067067067	0.848348922593	0.453287037037	0.773332489235
SVC_np_ica_pwling1	0.4534375	0.819293946255	0.571469232253	0.668011178871	0.779104104104	0.314592530268	0.508530092593	0.68175847702
SVC_np_raw_ampcorrcoef-theta	0.5233515625	0.80511741527	0.744292341821	0.677801854319	0.804788851351	0.53882745458	0.489606481481	0.734142639925
SVC_np_raw_ampcorrcoef-high_gamma-eig	0.575828125	0.759824301768	0.697341676312	0.713322495983	0.565264326827	0.454354065591	0.510914351852	0.718952095073
SVC_np_csp_phase-high_gamma-dif	0.572681857639	0.945557024941	0.678264708719	0.763276808301	0.882005442943	0.78490009033	0.530706018519	0.79451716749
SVC_np_ica_PSDlogfcorrcoef	0.687676215278	0.822259196995	0.650684606481	0.683708658341	0.837734296797	0.878824467853	0.488888888889	0.747536833855
SVC_np_ica_pwling2	0.454089409722	0.852048211564	0.716493200231	0.713379706244	0.869372497497	0.4243502047	0.612939814815	0.756972141517
SVC_np_raw_cov	0.502253472222	0.888308498676	0.772509837963	0.652555087861	0.899067505005	0.298376786573	0.574097222222	0.768103027914
SVC_np_raw_ampcorrcoef-low_gamma	0.563269097222	0.861443504654	0.66988835841	0.741279175201	0.633144707207	0.468017432289	0.459490740741	0.729353758223
SVC_np_raw_xcorr-tpeak	0.498273871528	0.675864920185	0.506612316744	0.653153332432	0.526364489489	0.341636981511	0.598263888889	0.625652759948
SVC_np_csp_ampcorrcoef-high_gamma	0.506669270833	0.781567349384	0.719655044367	0.766331737454	0.755614051552	0.648967575797	0.440694444444	0.759494196436
SVC_np_raw_pwling5	0.463440972222	0.628642468333	0.460810908565	0.715186645361	0.504002127127	0.60520200475	0.457916666667	0.639748496707
SVC_np_csp_lmom-1	0.450262152778	0.724259655154	0.55655931713	0.520023051618	0.587191253754	0.445898349287	0.581689814815	0.637156056799
SVC_np_ica_psd_logf	0.55994140625	0.849239631313	0.81567742091	0.77841309682	0.900958458458	0.876780198727	0.58125	0.814345765964
SVC_np_raw_phase-low_gamma-dif	0.544056857639	0.88766434589	0.646389756944	0.702915140032	0.851869056557	0.4875322348	0.402592592593	0.741125999593
SVC_np_raw_phase-alpha-dif	0.480786024306	0.751758022926	0.620986111111	0.635151133619	0.744276776777	0.81022717339	0.507384259259	0.67027185533
SVC_np_csp_ilingam-causalindex	0.630476996528	0.511731642395	0.561634982639	0.575472909139	0.5227002002	0.456879124962	0.622291666667	0.626706266826
SVC_np_csp_lmom-6	0.522003472222	0.706652258476	0.548497202932	0.707473602687	0.652103666166	0.4300486618	0.419282407407	0.660838602736
SVC_np_csp_PSDlogfcorrcoef	0.516512586806	0.723585048179	0.690833140432	0.695936368409	0.921305993493	0.824065372904	0.545555555556	0.744200415921
SVC_np_csp_pwling5	0.519645833333	0.652185142014	0.468127797068	0.691699598679	0.503297985485	0.26941008494	0.427164351852	0.644998704221
SVC_np_ica_xcorr-twidth	0.491244791667	0.827193709453	0.69187654321	0.704921097404	0.862129004004	0.662072752306	0.633055555556	0.756213326162
SVC_np_csp_phase-low_gamma-dif	0.479256510417	0.898292272573	0.633632716049	0.788231544372	0.867458708709	0.717015785946	0.442627314815	0.76896992333
SVC_np_ica_ampcorrcoef-beta	0.485557291667	0.698078834312	0.740381413966	0.770139892354	0.802813751251	0.781711212611	0.549027777778	0.744996079122
SVC_np_csp_pib_ratio	0.590578559028	0.846509703158	0.758529755015	0.789915755033	0.775229291792	0.778085252852	0.495115740741	0.786908862979
SVC_np_csp_ampcorrcoef-low_gamma	0.4437421875	0.786645591422	0.709810715664	0.735805655224	0.766716716717	0.661413486895	0.459259259259	0.740406178391
SVC_np_raw_lmom-6	0.518328559028	0.717978860766	0.724109278549	0.724529859202	0.712905718218	0.486069831141	0.464236111111	0.721907491253
SVC_np_raw_xcorr-ypeak	0.490654947917	0.919167491028	0.765423273534	0.712658579492	0.947577264765	0.558103683145	0.567199074074	0.801377961692
SVC_np_csp_ampcorrcoef-theta-eig	0.599682291667	0.594967594487	0.527693383488	0.726560220564	0.524111611612	0.547709325874	0.639212962963	0.667051668213
SVC_np_ica_lmom-6	0.534180989583	0.676806916999	0.639679060571	0.722294872191	0.667711148649	0.623813504378	0.484351851852	0.687980305863
SVC_np_csp_act	0.425193142361	0.863391511507	0.645912905093	0.730111411384	0.773838526026	0.611213703979	0.549178240741	0.740740137786
SVC_np_csp_ilingam-connweights	0.487069878472	0.540928798422	0.62427117091	0.71053367258	0.542321383884	0.515015589259	0.510300925926	0.656938175112
SVC_np_csp_PSDcorrcoef	0.586630208333	0.765796069826	0.656176118827	0.713143374349	0.843508508509	0.840978626688	0.428981481481	0.737776916706
SVC_np_raw_mvar-DC	0.483231770833	0.899327369333	0.800059606481	0.78043758213	0.891497434935	0.716996663607	0.48849537037	0.813315182
SVC_np_csp_phase-delta-sync	0.64861328125	0.856717541535	0.748957368827	0.751439604747	0.877708333333	0.836075112549	0.670416666667	0.792454439796
SVC_np_csp_phase-beta-sync	0.51365234375	0.860011232999	0.705629147377	0.753150950545	0.908048048048	0.881119148564	0.467268518519	0.771739928925
SVC_np_raw_mvar-PDC	0.507952690972	0.80361777388	0.733930555556	0.712355165196	0.887224099099	0.733417289509	0.385532407407	0.763621919783
SVC_np_raw_mvar-Hphs	0.426822916667	0.795515610398	0.788170910494	0.75449434803	0.829121621622	0.627290127774	0.554710648148	0.781044159751
SVC_np_ica_lmom-4	0.509271701389	0.706700377549	0.664744695216	0.710196942587	0.722217842843	0.69354174862	0.576296296296	0.70595780519
SVC_np_csp_pwling4	0.553296006944	0.781982240708	0.609460021219	0.639503020011	0.789532657658	0.43395326136	0.473877314815	0.678733165084
SVC_np_ica_pwling4	0.578065104167	0.875296409855	0.700878761574	0.654298999286	0.801448948949	0.597411927969	0.566168981481	0.738822655166
SVC_np_ica_corrcoefeig	0.424086371528	0.732031364613	0.51541951196	0.576941878668	0.765804867367	0.44965088072	0.492071759259	0.661904944012
SVC_np_csp_var	0.527760416667	0.840350758878	0.68676716821	0.648325089376	0.914428490991	0.399627751796	0.534166666667	0.745704669139
SVC_np_raw_mvar-DCphs	0.426822916667	0.795515610398	0.788170910494	0.75449434803	0.829121621622	0.627290127774	0.554710648148	0.781044159751
SVC_np_raw_ampcorrcoef-high_gamma	0.483902777778	0.801755474768	0.668317322531	0.756759846847	0.625731981982	0.41193161123	0.360300925926	0.728157930291
SVC_np_ica_phase-low_gamma-dif	0.475563368056	0.886444983701	0.684375192901	0.783927738383	0.862031093594	0.699009827061	0.409189814815	0.772055375329
SVC_np_raw_pwling4	0.519862847222	0.764224643995	0.633171923225	0.659326979499	0.695656281281	0.668475093608	0.701087962963	0.676945203878
SVC_np_csp_FFTcorrcoefeig	0.407623697917	0.574913113993	0.587282262731	0.537690519891	0.57697291041	0.443865007212	0.498055555556	0.620856626854
SVC_np_raw_pib	0.553383680556	0.813448000328	0.814278597608	0.74309678775	0.912629504505	0.407435129741	0.510069444444	0.794137370957
SVC_np_raw_var	0.522970486111	0.798444360985	0.684986304012	0.630337182564	0.908145332833	0.344095567988	0.655185185185	0.727611716706
SVC_np_ica_var	0.564120659722	0.762474019339	0.644866994599	0.585776523152	0.858150337838	0.497372044233	0.434930555556	0.690669451271
SVC_np_ica_pib	0.587719184028	0.835561673965	0.807205825617	0.72859380469	0.904952765265	0.86751861241	0.567847222222	0.800866940602
SVC_np_ica_PSDcorrcoefeig	0.487121961806	0.519813942735	0.622996141975	0.663242919105	0.542018268268	0.80322475487	0.337731481481	0.659257451746
SVC_np_csp_mvar-PDC	0.472743923611	0.930347698541	0.812337287809	0.772693955722	0.917742117117	0.835001529787	0.474814814815	0.820478140699
SVC_np_raw_spearman	0.560045138889	0.933767915577	0.780432725694	0.724757538621	0.963523210711	0.670750651981	0.60619212963	0.81722824851
SVC_np_ica_mvar-Sphs	0.454903645833	0.927449975205	0.814096788194	0.782880439714	0.8779247998	0.807245909641	0.629305555556	0.821298655883
SVC_np_ica_mvar-Pphs	0.445832465278	0.914794361699	0.773818817515	0.741169562165	0.831529341842	0.810146131095	0.503194444444	0.794707519783
SVC_np_csp_lmom-2	0.566408854167	0.864851472096	0.732128134645	0.644532365479	0.932080830831	0.529974722089	0.555300925926	0.76866166749
SVC_np_raw_phase-low_gamma-sync	0.511259114583	0.919765462238	0.711008969907	0.792897149111	0.845607482482	0.433604506316	0.51349537037	0.787680838589
SVC_np_ica_ilingam-causalindex	0.526671006944	0.522179439403	0.58564134838	0.527968174486	0.535121684184	0.468080262832	0.518888888889	0.620458126163
SVC_np_csp_pib_ratioBB	0.666618489583	0.864558634028	0.765789834105	0.767052945474	0.830943756256	0.850419598759	0.461018518519	0.794389088533
SVC_np_ica_mvar-PDC	0.480176649306	0.956136341353	0.820433159722	0.778260824271	0.928091216216	0.866040728761	0.489259259259	0.833185746438
SVC_np_csp_mvar-DTF	0.489884548611	0.924075836655	0.811406442901	0.785052210242	0.923603916416	0.854366995935	0.48974537037	0.825717229992
SVC_np_csp_corrcoefeig	0.451663194444	0.743683545346	0.530868200231	0.521652839002	0.836590965966	0.910256130076	0.434560185185	0.681334985312
SVC_np_csp_mvar-DC	0.483767361111	0.918576714938	0.819150607639	0.77927552775	0.911854667167	0.80270845171	0.492638888889	0.822355038987
SVC_np_csp_mvar-ARF	0.473208333333	0.938091861573	0.82331177662	0.771586652828	0.930207707708	0.777517956787	0.426111111111	0.830238327223
SVC_np_csp_xcorr-twidth	0.519193576389	0.789560179175	0.677263647762	0.702769453535	0.802544732232	0.701881820301	0.609143518519	0.736044251164
SVC_np_ica_ampcorrcoef-beta-eig	0.431798177083	0.682528384007	0.750529803241	0.784937738384	0.833333958959	0.708616526072	0.386828703704	0.75980482451
SVC_np_ica_mvar-DCphs	0.529913194444	0.935605300106	0.829215470679	0.821171203577	0.875437625125	0.837887181841	0.61994212963	0.843087041832
SVC_np_ica_phase-theta-sync	0.539003038194	0.809425048688	0.789727961034	0.733406662051	0.901349161662	0.823651966141	0.492094907407	0.780300142623
SVC_np_raw_mvar-S	0.539250868056	0.885411381755	0.8031640625	0.781961416448	0.920888075576	0.299703512683	0.446354166667	0.811167848943
SVC_np_ica_mvar-PDCphs	0.460237847222	0.948711656224	0.826768036265	0.816087528098	0.883256068569	0.841584167432	0.565960648148	0.83936670854
