	Dog_1	Dog_2	Dog_3	Dog_4	Dog_5	Patient_1	Patient_2	all
SVC_ica_PSDcorrcoefeig_AND_ica_spearman	0.755438016529	0.971773505681	0.77975	0.651800819145	0.923066115702	0.864289101421	0.602272727273	0.846347524238
SVC_ica_ampcorrcoef-high_gamma-eig_AND_ica_corrcoef	0.787363636364	0.932002651952	0.826152892562	0.622176599382	0.936077134986	0.796604335207	0.662727272727	0.856351500138
SVC_ica_ampcorrcoef-theta_AND_ica_FFTcorrcoefeig	0.552198347107	0.807575907131	0.826958677686	0.672229520544	0.736920110193	0.877813771196	0.756611570248	0.772686943756
SVC_ica_phase-alpha-sync_AND_ica_phase-delta-sync	0.684280991736	0.980030386912	0.787024793388	0.673851014267	0.940688705234	0.878525069702	0.65541322314	0.83744051442
SVC_ica_ampcorrcoef-alpha_AND_ica_spearman	0.73102892562	0.952314236134	0.787185950413	0.715634837321	0.965639118457	0.878616481558	0.733223140496	0.859378995015
SVC_ica_ampcorrcoef-beta_AND_ica_phase-delta-sync	0.712991735537	0.970459855473	0.734890495868	0.670067017919	0.950038567493	0.846688034188	0.67	0.832224821849
SVC_ica_corrcoefeig_AND_ica_mvar-S	0.709487603306	0.984926302665	0.826055785124	0.705626272624	0.940782369146	0.768573746515	0.663305785124	0.855141373826
SVC_ica_emvar-ePCOHphs_AND_ica_phase-alpha-sync	0.575082644628	0.965796776873	0.784925619835	0.698665440282	0.960812672176	0.77994738105	0.477520661157	0.837953099673
SVC_ica_mvar-COHphs_AND_ica_phase-theta-dif	0.55042768595	0.963969923504	0.836533057851	0.761236715555	0.941449035813	0.765101524293	0.61520661157	0.838026806741
SVC_ica_ilingam-causalindex_AND_ica_phase-low_gamma-dif	0.638289256198	0.98171026568	0.673173553719	0.699251138905	0.893741046832	0.777330716669	0.678884297521	0.827416659021
SVC_ica_emvar-ePphs_AND_ica_lmom-4	0.559512396694	0.958990980167	0.790770661157	0.702399648081	0.95705785124	0.755321883998	0.491239669421	0.835358672049
SVC_ica_emvar-ePDC_AND_ica_PSDlogfcorrcoef	0.549826446281	0.868484923098	0.718704545455	0.700233213028	0.952336088154	0.822573872206	0.373388429752	0.789517769214
SVC_ica_emvar-eP_AND_ica_psd_logfBB	0.611603305785	0.992323498345	0.886859504132	0.819253704981	0.967548209366	0.855080785228	0.64326446281	0.879929274857
SVC_ica_ampcorrcoef-beta-eig_AND_ica_emvar-eCOHphs	0.555669421488	0.963718227651	0.835	0.762017269361	0.945212121212	0.747776120938	0.593305785124	0.836938480595
SVC_ica_ilingam-connweights_AND_ica_mvar-PCOHphs	0.611747933884	0.964814596052	0.813834710744	0.779913719844	0.950606060606	0.792815028109	0.431570247934	0.855796709178
SVC_ica_emvar-COHphs_AND_ica_PSDlogfcorrcoefeig	0.568380165289	0.96596085989	0.815977272727	0.761173696716	0.945771349862	0.755326168929	0.587809917355	0.835927837416
SVC_ica_ilingam-causalorder_AND_ica_psd_logfBB	0.805946280992	0.968572136574	0.816698347107	0.762345127287	0.839873278237	0.866071632616	0.811776859504	0.859628865033
SVC_ica_corrcoef_AND_ica_lmom-2	0.768917355372	0.947889442757	0.823119834711	0.605288117066	0.910652892562	0.773015791398	0.610247933884	0.849047313209
SVC_ica_ilingam-causalorder_AND_ica_lmom-1	0.534954545455	0.817237330109	0.656053719008	0.616081501255	0.642980716253	0.597060823164	0.587809917355	0.719623895159
SVC_ica_emvar-eDPDCphs_AND_ica_phase-low_gamma-sync	0.53622107438	0.934353062278	0.771690082645	0.739418533737	0.958980716253	0.763179018694	0.419400826446	0.808980716885
SVC_ica_lmom-4_AND_ica_pib	0.74505785124	0.92688864088	0.913669421488	0.686928039884	0.922798898072	0.881291706659	0.709628099174	0.856693503991
SVC_ica_emvar-eSphs_AND_ica_emvar-eCOH	0.585838842975	0.966413468691	0.828272727273	0.761838310522	0.967658402204	0.78794163353	0.620661157025	0.846970593632
SVC_ica_mvar-DC_AND_ica_pib_ratio	0.584830578512	0.973868152591	0.860803719008	0.775409055917	0.97914600551	0.902237876503	0.592024793388	0.857319173013
SVC_ica_emvar-ePCOH_AND_ica_phase-delta-sync	0.607566115702	0.992846808783	0.899070247934	0.740441298501	0.951300275482	0.804695712784	0.658388429752	0.864931033428
SVC_ica_emvar-ePDC_AND_ica_mvar-GPDC	0.576161157025	0.970700877055	0.817590909091	0.752403913767	0.979046831956	0.826457447781	0.460123966942	0.84585772395
SVC_ica_emvar-DTF_AND_ica_ilingam-causalindex	0.572946280992	0.935760365037	0.870132231405	0.750229647181	0.971575757576	0.863740630285	0.615165289256	0.848097837722
SVC_ica_pwling2_AND_ica_var	0.666438016529	0.8666017648	0.787421487603	0.692883036902	0.90470523416	0.601214349376	0.617355371901	0.78670764902
SVC_ica_ampcorrcoef-alpha-eig_AND_ica_emvar-eDDCphs	0.621524793388	0.822553190902	0.706524793388	0.742847411762	0.859702479339	0.709737362311	0.500702479339	0.762431186347
SVC_ica_emvar-ePphs_AND_ica_mvar-Pphs	0.560993801653	0.959798625568	0.790285123967	0.706978394969	0.95694214876	0.753180846931	0.489008264463	0.835687907147
SVC_ica_emvar-eSphs_AND_ica_emvar-ePDCphs	0.534159090909	0.964712685116	0.821795454545	0.753987149622	0.95149862259	0.733945792769	0.504338842975	0.829215371441
SVC_ica_corrcoefeig_AND_ica_mvar-DTFphs	0.583154958678	0.984892578872	0.837351239669	0.819391339992	0.953245179063	0.85962852507	0.617644628099	0.861158745451
SVC_ica_ampcorrcoef-high_gamma_AND_ica_emvar-Sphs	0.567466942149	0.958966772006	0.813400826446	0.771722370521	0.945707988981	0.748018933681	0.573925619835	0.83397375906
SVC_ica_lmom-4_AND_ica_phase-theta-dif	0.538975206612	0.854003487553	0.713632231405	0.701198324385	0.843162534435	0.858127370995	0.72041322314	0.778636801541
SVC_ica_lmom-6_AND_ica_phase-delta-sync	0.723433884298	0.972911954868	0.810008264463	0.605335372864	0.932925619835	0.866842920152	0.713801652893	0.838844542313
SVC_ica_ilingam-causalorder_AND_ica_mvar-ARF	0.500223140496	0.987438429426	0.82891322314	0.770347953304	0.977217630854	0.794733248777	0.460247933884	0.858144554546
SVC_ica_emvar-eSphs_AND_ica_lmom-3	0.557522727273	0.964422828129	0.83672107438	0.757385368032	0.945024793388	0.75765859957	0.593884297521	0.837268403829
SVC_ica_emvar-ePCOHphs_AND_ica_phase-beta-dif	0.570252066116	0.964146332468	0.783588842975	0.718974235926	0.958162534435	0.774942581928	0.489214876033	0.839242973361
SVC_ica_emvar-eS_AND_ica_emvar-ePDCphs	0.601983471074	0.972499602611	0.832227272727	0.719725396492	0.966842975207	0.758251348325	0.656157024793	0.851083356271
SVC_ica_emvar-P_AND_ica_emvar-eDPDCphs	0.569037190083	0.977957113196	0.806811983471	0.777685732282	0.969862258953	0.813356986151	0.586983471074	0.854103663945
SVC_ica_emvar-ePCOHphs_AND_ica_phase-low_gamma-sync	0.578214876033	0.97017500282	0.787103305785	0.721743865578	0.960672176309	0.755064788153	0.480785123967	0.843006621403
SVC_ica_emvar-Pphs_AND_ica_mvar-COH	0.60991322314	0.9880155303	0.770733471074	0.736262059726	0.969581267218	0.785520647653	0.592314049587	0.847399379148
SVC_ica_emvar-DC_AND_ica_lmom-3	0.56977892562	0.933128084938	0.842382231405	0.74865237662	0.970159779614	0.883514157411	0.61979338843	0.842959063523
SVC_ica_ampcorrcoef-beta_AND_ica_emvar-DTFphs	0.581369834711	0.983789579111	0.82617768595	0.827344777368	0.953041322314	0.854329494035	0.618884297521	0.859732314891
SVC_ica_ilingam-causalorder_AND_ica_psd_logf	0.765061983471	0.957673508915	0.866859504132	0.766664767104	0.930743801653	0.899964006582	0.700743801653	0.874500183503
SVC_ica_emvar-DTFphs_AND_ica_emvar-DTF	0.565082644628	0.954733326641	0.836305785124	0.789050051821	0.97279338843	0.838342417387	0.624297520661	0.848883689635
SVC_ica_phase-theta-sync_AND_ica_PSDcorrcoef	0.756384297521	0.918344712977	0.76123553719	0.672635860419	0.947289256198	0.88486676722	0.559297520661	0.826011178396
SVC_ica_emvar-ePphs_AND_ica_phase-low_gamma-sync	0.578214876033	0.97017500282	0.787103305785	0.721743865578	0.960672176309	0.755064788153	0.480785123967	0.843006621403
SVC_ica_lmom-1_AND_ica_lmom-2	0.556138429752	0.871389631294	0.756123966942	0.588035018612	0.846798898072	0.765055818365	0.393099173554	0.767308392207
SVC_ica_emvar-ePDCphs_AND_ica_mvar-P	0.578849173554	0.978766582837	0.807714876033	0.77400124638	0.970292011019	0.816060777458	0.593512396694	0.85628765636
SVC_ica_emvar-PCOHphs_AND_ica_lmom-6	0.632169421488	0.97101449847	0.783702479339	0.769738926714	0.952253443526	0.794329036976	0.439669421488	0.854188075359
SVC_ica_emvar-eDPDC_AND_ica_ilingam-connweights	0.496681818182	0.809256081721	0.734702479339	0.689767686765	0.93764738292	0.801193496046	0.32	0.770893124752
SVC_ica_emvar-ePDC_AND_ica_phase-high_gamma-dif	0.535702479339	0.882564606702	0.720648760331	0.710538742756	0.954396694215	0.817713332419	0.410867768595	0.793818393125
SVC_ica_FFTcorrcoef_AND_ica_mvar-PDC	0.560295454545	0.984351568373	0.848644628099	0.770783719744	0.97850137741	0.888089035148	0.510743801653	0.852842309692
SVC_ica_emvar-GPDCphs_AND_ica_FFTcorrcoef	0.547599173554	0.987982841886	0.821799586777	0.809068414265	0.955630853994	0.853759598245	0.599876033058	0.851042297458
SVC_ica_pwling2_AND_ica_xcorr-twidth	0.619979338843	0.867881913082	0.761146694215	0.721383515125	0.938462809917	0.683719262763	0.697727272727	0.806041838701
SVC_ica_mvar-PDCphs_AND_ica_mvar-S	0.582880165289	0.991140872961	0.807506198347	0.776615278486	0.969790633609	0.836894110791	0.689173553719	0.856137948436
SVC_ica_ampcorrcoef-high_gamma-eig_AND_ica_pwling4	0.697099173554	0.803643707929	0.807016528926	0.559917818902	0.811526170799	0.678693038987	0.646694214876	0.760550967979
SVC_ica_emvar-PDCphs_AND_ica_emvar-Sphs	0.575070247934	0.982823791801	0.850090909091	0.793327767947	0.961818181818	0.80785085013	0.588842975207	0.854240220815
SVC_ica_mvar-Sphs_AND_ica_pwling5	0.554487603306	0.964403057308	0.833119834711	0.760556738617	0.944517906336	0.709293157823	0.666570247934	0.837061427654
SVC_ica_ampcorrcoef-theta-eig_AND_ica_mvar-PDC	0.585268595041	0.985188993264	0.887347107438	0.776246529965	0.979228650138	0.890098667672	0.485785123967	0.86628566841
SVC_ica_emvar-DC_AND_ica_emvar-ePDC	0.564237603306	0.944008716713	0.797526859504	0.720810946816	0.976920110193	0.826698832214	0.50541322314	0.831845735083
SVC_ica_emvar-eS_AND_ica_psd_logfBB	0.720607438017	0.98586287748	0.828113636364	0.718869826607	0.937311294766	0.861298219754	0.677107438017	0.859005107502
SVC_ica_emvar-ePDCphs_AND_ica_mvar-PDCphs	0.57508677686	0.98104022716	0.830907024793	0.788911683646	0.964126721763	0.811683006536	0.486033057851	0.852882068691
SVC_ica_emvar-eP_AND_ica_pib_ratio	0.603309917355	0.992157591088	0.891795454545	0.811352255648	0.968303030303	0.866597250788	0.641776859504	0.878060143132
SVC_ica_mvar-GPDC_AND_ica_pib	0.575380165289	0.985182287948	0.877171487603	0.783551049925	0.980925619835	0.892098302025	0.538388429752	0.864024145946
SVC_ica_emvar-PDCphs_AND_ica_emvar-Pphs	0.581256198347	0.981922543153	0.824369834711	0.782308768983	0.963278236915	0.808746400658	0.533223140496	0.856111952167
SVC_ica_emvar-COH_AND_ica_emvar-S	0.685330578512	0.976950329783	0.858320247934	0.743392753	0.94108815427	0.865287490287	0.646033057851	0.860375263786
SVC_ica_emvar-Hphs_AND_ica_mvar-Pphs	0.580479338843	0.979054590932	0.819161157025	0.800915322809	0.962953168044	0.811183097948	0.566611570248	0.85878574487
SVC_ica_emvar-eGphs_AND_ica_mvar-PCOHphs	0.621952479339	0.958590805947	0.845820247934	0.761355154981	0.964049586777	0.769813519814	0.426425619835	0.855512967551
SVC_ica_FFTcorrcoef_AND_ica_lmom-6	0.567946280992	0.886446540688	0.663194214876	0.7433179702	0.82979338843	0.703032873989	0.501859504132	0.781622625929
SVC_ica_emvar-eDDC_AND_ica_emvar-H	0.497588842975	0.960152183054	0.801262396694	0.753869110105	0.976027548209	0.845195449975	0.447892561983	0.830851530721
SVC_ica_emvar-S_AND_ica_emvar-eDPDC	0.591491735537	0.953457418485	0.792710743802	0.690039457591	0.966556473829	0.807920837333	0.624752066116	0.838258097073
SVC_ica_emvar-eDC_AND_ica_emvar-H	0.562190082645	0.964365808294	0.847714876033	0.745300214284	0.977063360882	0.844194204488	0.487148760331	0.845791280546
SVC_ica_emvar-P_AND_ica_xcorr-ypeak	0.608429752066	0.991499656648	0.878991735537	0.767525302514	0.96347107438	0.853829585447	0.631652892562	0.872185827446
SVC_ica_ampcorrcoef-beta-eig_AND_ica_lmom-6	0.65423553719	0.761712707204	0.827115702479	0.78412088553	0.846490358127	0.793749143014	0.542603305785	0.787936049179
SVC_ica_emvar-PCOHphs_AND_ica_ilingam-connweights	0.620390495868	0.970191223767	0.789487603306	0.773389487085	0.953834710744	0.793237807944	0.430991735537	0.854916200263
SVC_ica_emvar-Pphs_AND_ica_mvar-PCOH	0.605504132231	0.980946254135	0.838190082645	0.755514631635	0.971046831956	0.798308309338	0.534566115702	0.862389362938
SVC_ica_emvar-eS_AND_ica_pwling4	0.714080578512	0.987758016599	0.822024793388	0.68019742126	0.936815426997	0.801989064857	0.669049586777	0.850613129645
SVC_ica_ampcorrcoef-high_gamma-eig_AND_ica_phase-low_gamma-dif	0.639107438017	0.955484395942	0.668828512397	0.755533693917	0.906479338843	0.770354849399	0.692603305785	0.824654861302
SVC_ica_ampcorrcoef-high_gamma_AND_ica_phase-beta-sync	0.792121900826	0.945021490536	0.747450413223	0.659471321596	0.969961432507	0.903257690022	0.532727272727	0.843973682601
SVC_ica_act_AND_ica_emvar-ARF	0.496429752066	0.988045112574	0.83298553719	0.768696599782	0.978865013774	0.79480752091	0.46	0.85936416185
SVC_ica_ampcorrcoef-alpha-eig_AND_ica_mvar-PDCphs	0.563491735537	0.989152426417	0.83529338843	0.821009167891	0.955432506887	0.85730323598	0.58520661157	0.859943649264
SVC_ica_FFT_AND_ica_var	0.452297520661	0.741507027565	0.623450413223	0.521196458148	0.505052341598	0.519065085242	0.698512396694	0.69726435147
SVC_ica_ampcorrcoef-low_gamma_AND_ica_emvar-ePCOH	0.600314049587	0.988350056522	0.872617768595	0.746636373634	0.953214876033	0.814176836236	0.65	0.858959384653
SVC_ica_ampcorrcoef-alpha_AND_ica_pib	0.742712809917	0.896411009418	0.898227272727	0.667169151095	0.944633608815	0.877578100005	0.712355371901	0.852253264826
SVC_ica_coher_logf_AND_ica_lmom-1	0.658595041322	0.992102173627	0.845462809917	0.722885303047	0.965988980716	0.854572306778	0.70132231405	0.856647245925
SVC_ica_emvar-eS_AND_ica_emvar-eP	0.638376033058	0.99378875771	0.856650826446	0.759446393996	0.946325068871	0.809242024316	0.686404958678	0.865627733431
SVC_ica_mvar-Sphs_AND_ica_PSDlogfcorrcoefeig	0.552599173554	0.964336053456	0.835338842975	0.759952877505	0.944033057851	0.741638671786	0.589318181818	0.838792779154
SVC_ica_emvar-COH_AND_ica_mvar-DTFphs	0.588595041322	0.976798868537	0.821694214876	0.789903422213	0.975449035813	0.848481991864	0.653099173554	0.857623788115
SVC_ica_lmom-2_AND_ica_phase-high_gamma-dif	0.564533057851	0.970272501067	0.836948347107	0.715487171284	0.965325068871	0.858765825678	0.64958677686	0.854970792427
SVC_ica_emvar-DTF_AND_ica_phase-theta-dif	0.572592975207	0.934675089989	0.858481404959	0.745750510716	0.970680440771	0.862629404909	0.65305785124	0.845410588127
SVC_ica_lmom-2_AND_ica_pwling4	0.720566115702	0.85161839201	0.800510330579	0.54183871043	0.804936639118	0.729382341515	0.625289256198	0.767731366792
SVC_ica_emvar-ePDCphs_AND_ica_pib	0.535276859504	0.912830305818	0.806066115702	0.741289836671	0.95217630854	0.775873840212	0.42132231405	0.806155075389
SVC_ica_emvar-eCOHphs_AND_ica_emvar-eARF	0.546607438017	0.973394959457	0.847900826446	0.737558861462	0.94579338843	0.694997200512	0.47194214876	0.835181438664
SVC_ica_ampcorrcoef-theta-eig_AND_ica_phase-low_gamma-dif	0.612070247934	0.974549284464	0.734417355372	0.72804511629	0.905900826446	0.794640408611	0.767314049587	0.836930758174
SVC_ica_emvar-S_AND_ica_FFT	0.524867768595	0.95942825549	0.759805785124	0.695717151722	0.939360881543	0.506811611591	0.73958677686	0.818895235037
SVC_ica_emvar-DTFphs_AND_ica_mvar-Sphs	0.569	0.979911170346	0.851196280992	0.801496655769	0.962418732782	0.810384672517	0.602685950413	0.856694650885
SVC_ica_coher_logf_AND_ica_mvar-Hphs	0.606483471074	0.992643677164	0.830723140496	0.7758120299	0.975393939394	0.84216457562	0.668388429752	0.862878245711
SVC_ica_coher_logf_AND_ica_mvar-PCOH	0.635330578512	0.995881111994	0.898363636364	0.73704924534	0.965052341598	0.837035513506	0.676404958678	0.869725586445
SVC_ica_phase-beta-dif_AND_ica_pib	0.701723140496	0.921513541582	0.777458677686	0.72261799786	0.943972451791	0.830972336487	0.736611570248	0.844672294094
SVC_ica_ampcorrcoef-alpha_AND_ica_var	0.697838842975	0.898653641657	0.81876446281	0.63621786989	0.923465564738	0.864329094109	0.65194214876	0.825837309233
SVC_ica_ampcorrcoef-low_gamma-eig_AND_ica_emvar-PDC	0.567330578512	0.971294790522	0.881669421488	0.768484148646	0.975190082645	0.852081333699	0.577272727273	0.858995091293
SVC_ica_emvar-eSphs_AND_ica_phase-theta-sync	0.574582644628	0.964266189984	0.83557231405	0.756918508743	0.953889807163	0.782184114905	0.597644628099	0.841442945836
SVC_ica_mvar-P_AND_ica_psd_logfBB	0.613150826446	0.992330943217	0.885867768595	0.819928583093	0.967537190083	0.855049362402	0.64326446281	0.879908401382
SVC_ica_emvar-PDCphs_AND_ica_emvar-eCOH	0.586890495868	0.974895002647	0.81226446281	0.780897960136	0.973829201102	0.852834053202	0.641818181818	0.852654830718
SVC_ica_gcaus_AND_ica_phase-delta-sync	0.72451446281	0.964089337286	0.787179752066	0.586049075379	0.927245179063	0.878739316239	0.667066115702	0.830790286571
SVC_ica_corrcoef_AND_ica_emvar-eDDC	0.440842975207	0.898991767056	0.738390495868	0.714998083774	0.94044077135	0.831487956488	0.37958677686	0.787854313851
SVC_ica_emvar-eSphs_AND_ica_mvar-Sphs	0.557450413223	0.963669811328	0.836902892562	0.760232713143	0.945024793388	0.745166598108	0.59229338843	0.838366746185
SVC_ica_emvar-Sphs_AND_ica_phase-beta-sync	0.594917355372	0.971954080816	0.810880165289	0.757284757839	0.95435261708	0.759562537136	0.587933884298	0.841435452794
SVC_ica_emvar-PDCphs_AND_ica_FFTcorrcoef	0.547599173554	0.987982841886	0.821799586777	0.809068414265	0.955630853994	0.853759598245	0.599876033058	0.851042297458
SVC_ica_ampcorrcoef-delta-eig_AND_ica_phase-alpha-dif	0.592640495868	0.911522424153	0.78632231405	0.629492250116	0.910181818182	0.901129507747	0.690929752066	0.816373826345
SVC_ica_emvar-Pphs_AND_ica_mvar-Pphs	0.575863636364	0.959938451119	0.778826446281	0.707771745832	0.95755922865	0.753080865213	0.487314049587	0.836403339756
SVC_ica_corrcoef_AND_ica_xcorr-twidth	0.717607438017	0.916096188935	0.769520661157	0.654657262163	0.956280991736	0.781721342383	0.714669421488	0.839632152797
SVC_ica_emvar-ePphs_AND_ica_mvar-DCphs	0.582723140496	0.978824712007	0.81991322314	0.797831898663	0.963399449036	0.816587823941	0.567148760331	0.858710279231
SVC_ica_ampcorrcoef-alpha-eig_AND_ica_emvar-PCOHphs	0.628566115702	0.970633035039	0.784068181818	0.772531051192	0.952225895317	0.795353135427	0.44	0.854126601829
SVC_ica_lmom-4_AND_ica_spearman	0.759504132231	0.957600366741	0.783549586777	0.651713739173	0.935922865014	0.842350255953	0.660867768595	0.851342477903
SVC_ica_emvar-ePCOHphs_AND_ica_emvar-eDPDCphs	0.538533057851	0.958621744076	0.823438016529	0.728671272274	0.960203856749	0.718418632022	0.451776859504	0.833935452794
SVC_ica_ampcorrcoef-high_gamma_AND_ica_lmom-3	0.573165289256	0.792029805522	0.763797520661	0.703293342531	0.87241322314	0.825923259747	0.622438016529	0.768951815151
SVC_ica_ampcorrcoef-alpha_AND_ica_lmom-1	0.592132231405	0.7362487536	0.756285123967	0.742570142201	0.903179063361	0.871976267197	0.601074380165	0.787635333517
SVC_ica_emvar-eGphs_AND_ica_emvar-eDPDC	0.54423553719	0.877665905285	0.797111570248	0.71615131853	0.954865013774	0.802019059372	0.357685950413	0.797075725602
SVC_ica_emvar-PDCphs_AND_ica_emvar-DTF	0.565033057851	0.950889898915	0.831367768595	0.777898116766	0.971570247934	0.847140808538	0.612107438017	0.845696088326
SVC_ica_ampcorrcoef-theta_AND_ica_phase-high_gamma-sync	0.668214876033	0.997323888831	0.890371900826	0.730569702302	0.943159779614	0.908695267151	0.79673553719	0.871280392697
SVC_ica_corrcoefeig_AND_ica_mvar-Sphs	0.557409090909	0.963938122559	0.836314049587	0.759233009741	0.94547107438	0.739607614608	0.59305785124	0.839582530507
SVC_ica_ampcorrcoef-beta-eig_AND_ica_mvar-Pphs	0.561268595041	0.960499725476	0.785417355372	0.715740646318	0.95670523416	0.745582236391	0.487272727273	0.836085879438
SVC_ica_emvar-eDPDCphs_AND_ica_phase-beta-sync	0.537045454545	0.911795936934	0.773400826446	0.74300737497	0.960454545455	0.7676382033	0.395888429752	0.808197999816
SVC_ica_mvar-DC_AND_ica_pwling2	0.587512396694	0.965346682565	0.842772727273	0.776240597996	0.978402203857	0.885012454865	0.60520661157	0.853418662263
SVC_ica_ilingam-causalindex_AND_ica_ilingam-causalorder	0.623760330579	0.653566271395	0.514733471074	0.55344607407	0.567002754821	0.449762043512	0.430371900826	0.679881793437
SVC_ica_emvar-Hphs_AND_ica_ilingam-connweights	0.574743801653	0.984515010441	0.845123966942	0.823732641492	0.950457300275	0.85594348462	0.615950413223	0.861816756889
SVC_ica_emvar-DCphs_AND_ica_phase-alpha-dif	0.58367768595	0.985365352924	0.831002066116	0.814755472908	0.956787878788	0.885935143288	0.646446280992	0.860466250726
SVC_ica_phase-delta-dif_AND_ica_pib	0.669359504132	0.946763492081	0.774095041322	0.69946005752	0.940490358127	0.872259072627	0.663388429752	0.844060311344
SVC_ica_ampcorrcoef-high_gamma_AND_ica_mvar-Pphs	0.560504132231	0.956768118749	0.785801652893	0.719911720304	0.95879338843	0.748631678779	0.491157024793	0.835748080864
SVC_ica_emvar-eDC_AND_ica_psd_logf	0.528739669421	0.921405122546	0.791483471074	0.726881550577	0.971867768595	0.833593285799	0.42694214876	0.819347646573
SVC_ica_emvar-GPDC_AND_ica_mvar-H	0.578301652893	0.966903992108	0.883202479339	0.77354455142	0.977316804408	0.891348439143	0.562851239669	0.856313040952
SVC_ica_emvar-DC_AND_ica_ilingam-causalindex	0.573623966942	0.932993041855	0.8395	0.749208582026	0.969922865014	0.881203151424	0.618305785124	0.842637245007
SVC_ica_emvar-COHphs_AND_ica_lmom-6	0.571454545455	0.964294736879	0.816109504132	0.762188896554	0.946424242424	0.750367075735	0.594214876033	0.835936783191
SVC_ica_emvar-DTFphs_AND_ica_mvar-GPDC	0.566421487603	0.986739400277	0.848524793388	0.808031819348	0.972066115702	0.865581722199	0.597727272727	0.860466403646
SVC_ica_emvar-PDC_AND_ica_emvar-eDPDC	0.559181818182	0.965266563904	0.815768595041	0.73605784003	0.97226446281	0.824873451712	0.467314049587	0.838128115729
SVC_ica_ampcorrcoef-delta-eig_AND_ica_ampcorrcoef-high_gamma-eig	0.439590909091	0.737678982622	0.832024793388	0.743562147373	0.779746556474	0.799856597651	0.651033057851	0.778058078723
SVC_ica_ampcorrcoef-low_gamma-eig_AND_ica_mvar-S	0.705923553719	0.983645192959	0.822884297521	0.708046649271	0.934710743802	0.75958253348	0.663099173554	0.852955775759
