Model	Dog_1	Dog_2	Dog_3	Dog_4	Dog_5	Patient_1	Patient_2	all
XT_ica_ampcorrcoef-theta	0.559508264463	0.579291983756	0.715681818182	0.66597805838	0.628468319559	0.822611008273	0.72229338843	0.702699024375
XT_csp_ilingam-causalorder	0.502464876033	0.550068468175	0.500933884298	0.533524056134	0.515168044077	0.587611122538	0.49694214876	0.604045478178
XT_ica_emvar-ePCOH	0.568229338843	0.878947927111	0.748039256198	0.676185843923	0.880595041322	0.816463560949	0.532252066116	0.773534957336
RF_csp_lmom-4	0.568758264463	0.568181349796	0.612169421488	0.6473688385	0.675137741047	0.61785559212	0.506838842975	0.637858442671
RF_ica_phase-alpha-sync	0.539704545455	0.793803410797	0.614983471074	0.650677110931	0.856782369146	0.869993772567	0.431694214876	0.727170382604
RF_ica_emvar-eG	0.532938016529	0.722161871643	0.637454545455	0.668021555042	0.74144077135	0.948913627222	0.472685950413	0.719024145946
RF_ica_ilingam-causalindex	0.508477272727	0.586857058843	0.55155785124	0.454814992552	0.546730027548	0.487338029617	0.422561983471	0.542352968162
XT_ica_FFTcorrcoef	0.483568181818	0.818187931852	0.683386363636	0.633978518274	0.742694214876	0.591918906257	0.527623966942	0.722279184635
XT_csp_emvar-eSphs	0.588179752066	0.898016981803	0.69301446281	0.629881927157	0.833231404959	0.790109808492	0.53944214876	0.765315472367
AB_csp_PSDlogfcorrcoef	0.543004132231	0.873192670932	0.814584710744	0.639868796843	0.894325068871	0.775016854061	0.707520661157	0.669367373154
AB_ica_xcorr-twidth	0.641634297521	0.837819173022	0.655638429752	0.717640542675	0.868966942149	0.622496172129	0.514152892562	0.634829800899
SVC_csp_pib_ratio	0.701123966942	0.951810573257	0.878826446281	0.740786519101	0.840749311295	0.881328842726	0.756239669421	0.837878245711
SVC_csp_phase-alpha-dif	0.629768595041	0.864827025538	0.69920661157	0.664910337289	0.791079889807	0.945048619681	0.594132231405	0.769580389638
XT_csp_phase-theta-sync	0.595882231405	0.748238696021	0.619262396694	0.610351519151	0.851834710744	0.889891562686	0.304276859504	0.720872404196
XT_csp_pib_ratioBB	0.616417355372	0.835486413453	0.779233471074	0.712780393843	0.731760330579	0.90551013529	0.606487603306	0.775387191485
RF_csp_mvar-DC	0.525696280992	0.871802180766	0.710384297521	0.645432017303	0.816355371901	0.772493029846	0.440185950413	0.752721427042
RF_csp_emvar-P	0.550791322314	0.895948342643	0.752386363636	0.675333739906	0.882090909091	0.888139026007	0.69617768595	0.796571168609
RF_ica_lmom-4	0.521373966942	0.566528883936	0.709975206612	0.695760141834	0.637280991736	0.762557703734	0.507871900826	0.672129935468
XT_ica_mvar-ARF	0.514537190083	0.814768319514	0.633588842975	0.644456974896	0.85752892562	0.854839400795	0.505619834711	0.74943748662
XT_ica_ampcorrcoef-theta	0.559508264463	0.579291983756	0.715681818182	0.66597805838	0.628468319559	0.822611008273	0.72229338843	0.702699024375
XT_csp_ilingam-causalorder	0.502464876033	0.550068468175	0.500933884298	0.533524056134	0.515168044077	0.587611122538	0.49694214876	0.604045478178
XT_ica_emvar-ePCOH	0.568229338843	0.878947927111	0.748039256198	0.676185843923	0.880595041322	0.816463560949	0.532252066116	0.773534957336
RF_csp_lmom-4	0.568758264463	0.568181349796	0.612169421488	0.6473688385	0.675137741047	0.61785559212	0.506838842975	0.637858442671
RF_ica_phase-alpha-sync	0.539704545455	0.793803410797	0.614983471074	0.650677110931	0.856782369146	0.869993772567	0.431694214876	0.727170382604
RF_ica_emvar-eG	0.532938016529	0.722161871643	0.637454545455	0.668021555042	0.74144077135	0.948913627222	0.472685950413	0.719024145946
RF_ica_ilingam-causalindex	0.508477272727	0.586857058843	0.55155785124	0.454814992552	0.546730027548	0.487338029617	0.422561983471	0.542352968162
XT_ica_FFTcorrcoef	0.483568181818	0.818187931852	0.683386363636	0.633978518274	0.742694214876	0.591918906257	0.527623966942	0.722279184635
AB_ica_xcorr-twidth	0.641634297521	0.837819173022	0.655638429752	0.717640542675	0.868966942149	0.622496172129	0.514152892562	0.634829800899
XT_csp_emvar-eSphs	0.588179752066	0.898016981803	0.69301446281	0.629881927157	0.833231404959	0.790109808492	0.53944214876	0.765315472367
AB_csp_PSDlogfcorrcoef	0.543004132231	0.873192670932	0.814584710744	0.639868796843	0.894325068871	0.775016854061	0.707520661157	0.669367373154
SVC_csp_pib_ratio	0.701123966942	0.951810573257	0.878826446281	0.740786519101	0.840749311295	0.881328842726	0.756239669421	0.837878245711
XT_csp_phase-theta-sync	0.595882231405	0.748238696021	0.619262396694	0.610351519151	0.851834710744	0.889891562686	0.304276859504	0.720872404196
SVC_csp_phase-alpha-dif	0.629768595041	0.864827025538	0.69920661157	0.664910337289	0.791079889807	0.945048619681	0.594132231405	0.769580389638
XT_csp_pib_ratioBB	0.616417355372	0.835486413453	0.779233471074	0.712780393843	0.731760330579	0.90551013529	0.606487603306	0.775387191485
RF_csp_mvar-DC	0.525696280992	0.871802180766	0.710384297521	0.645432017303	0.816355371901	0.772493029846	0.440185950413	0.752721427042
RF_csp_emvar-P	0.550791322314	0.895948342643	0.752386363636	0.675333739906	0.882090909091	0.888139026007	0.69617768595	0.796571168609
RF_ica_lmom-4	0.521373966942	0.566528883936	0.709975206612	0.695760141834	0.637280991736	0.762557703734	0.507871900826	0.672129935468
XT_ica_mvar-ARF	0.514537190083	0.814768319514	0.633588842975	0.644456974896	0.85752892562	0.854839400795	0.505619834711	0.74943748662
AB_ica_psd_logfBB	0.548376033058	0.912744196747	0.726553719008	0.766075002749	0.785438016529	0.621999120161	0.623450413223	0.682921751231
SVC_ica_emvar-ePCOH	0.602225206612	0.990445270425	0.874340909091	0.746828562764	0.94667768595	0.818714577906	0.646404958678	0.859626112487
AB_ica_xcorr-ypeak	0.763128099174	0.922065251004	0.690966942149	0.683613035668	0.935845730028	0.683229352347	0.550371900826	0.668265437196
RF_ica_ampcorrcoef-beta-eig	0.422099173554	0.468060092052	0.619006198347	0.678469018792	0.779399449036	0.772772978655	0.332376033058	0.64580825458
XT_ica_ampcorrcoef-theta	0.559508264463	0.579291983756	0.715681818182	0.66597805838	0.628468319559	0.822611008273	0.72229338843	0.702699024375
XT_csp_ilingam-causalorder	0.502464876033	0.550068468175	0.500933884298	0.533524056134	0.515168044077	0.587611122538	0.49694214876	0.604045478178
XT_ica_emvar-ePCOH	0.568229338843	0.878947927111	0.748039256198	0.676185843923	0.880595041322	0.816463560949	0.532252066116	0.773534957336
RF_csp_lmom-4	0.568758264463	0.568181349796	0.612169421488	0.6473688385	0.675137741047	0.61785559212	0.506838842975	0.637858442671
RF_ica_phase-alpha-sync	0.539704545455	0.793803410797	0.614983471074	0.650677110931	0.856782369146	0.869993772567	0.431694214876	0.727170382604
RF_ica_emvar-eG	0.532938016529	0.722161871643	0.637454545455	0.668021555042	0.74144077135	0.948913627222	0.472685950413	0.719024145946
AB_ica_xcorr-twidth	0.641634297521	0.837819173022	0.655638429752	0.717640542675	0.868966942149	0.622496172129	0.514152892562	0.634829800899
AB_csp_PSDlogfcorrcoef	0.543004132231	0.873192670932	0.814584710744	0.639868796843	0.894325068871	0.775016854061	0.707520661157	0.669367373154
SVC_csp_pib_ratio	0.701123966942	0.951810573257	0.878826446281	0.740786519101	0.840749311295	0.881328842726	0.756239669421	0.837878245711
SVC_csp_mvar-Pphs	0.539231404959	0.971557678336	0.854380165289	0.779271134306	0.923763085399	0.732204682572	0.611363636364	0.853500703428
RF_ica_ilingam-causalindex	0.508477272727	0.586857058843	0.55155785124	0.454814992552	0.546730027548	0.487338029617	0.422561983471	0.542352968162
RF_ica_ampcorrcoef-beta-eig	0.422099173554	0.468060092052	0.619006198347	0.678469018792	0.779399449036	0.772772978655	0.332376033058	0.64580825458
XT_csp_phase-theta-sync	0.595882231405	0.748238696021	0.619262396694	0.610351519151	0.851834710744	0.889891562686	0.304276859504	0.720872404196
XT_csp_ilingam-causalorder	0.502464876033	0.550068468175	0.500933884298	0.533524056134	0.515168044077	0.587611122538	0.49694214876	0.604045478178
XT_csp_pib_ratioBB	0.616417355372	0.835486413453	0.779233471074	0.712780393843	0.731760330579	0.90551013529	0.606487603306	0.775387191485
XT_ica_FFTcorrcoef	0.483568181818	0.818187931852	0.683386363636	0.633978518274	0.742694214876	0.591918906257	0.527623966942	0.722279184635
XT_ica_ampcorrcoef-theta	0.559508264463	0.579291983756	0.715681818182	0.66597805838	0.628468319559	0.822611008273	0.72229338843	0.702699024375
RF_csp_lmom-4	0.568758264463	0.568181349796	0.612169421488	0.6473688385	0.675137741047	0.61785559212	0.506838842975	0.637858442671
RF_ica_lmom-4	0.521373966942	0.566528883936	0.709975206612	0.695760141834	0.637280991736	0.762557703734	0.507871900826	0.672129935468
RF_ica_phase-alpha-sync	0.539704545455	0.793803410797	0.614983471074	0.650677110931	0.856782369146	0.869993772567	0.431694214876	0.727170382604
XT_csp_emvar-eSphs	0.588179752066	0.898016981803	0.69301446281	0.629881927157	0.833231404959	0.790109808492	0.53944214876	0.765315472367
XT_ica_phase-beta-dif	0.634138429752	0.911119784744	0.63454338843	0.645504134049	0.890815426997	0.660077871475	0.619876033058	0.75624415084
XT_ica_emvar-ePCOH	0.568229338843	0.878947927111	0.748039256198	0.676185843923	0.880595041322	0.816463560949	0.532252066116	0.773534957336
XT_ica_mvar-ARF	0.514537190083	0.814768319514	0.633588842975	0.644456974896	0.85752892562	0.854839400795	0.505619834711	0.74943748662
RF_csp_emvar-P	0.550791322314	0.895948342643	0.752386363636	0.675333739906	0.882090909091	0.888139026007	0.69617768595	0.796571168609
RF_ica_emvar-DC	0.517535123967	0.879340705762	0.698376033058	0.661875968527	0.820666666667	0.849774612642	0.655289256198	0.76966915925
RF_csp_mvar-DC	0.525696280992	0.871802180766	0.710384297521	0.645432017303	0.816355371901	0.772493029846	0.440185950413	0.752721427042
RF_ica_emvar-eG	0.532938016529	0.722161871643	0.637454545455	0.668021555042	0.74144077135	0.948913627222	0.472685950413	0.719024145946
AB_csp_act	0.615644628099	0.777903209361	0.748669421488	0.70318486748	0.781402203857	0.705326740253	0.594772727273	0.669655702358
RF_csp_PSDlogfcorrcoef	0.572179752066	0.830223381672	0.762638429752	0.61585442015	0.865966942149	0.822461035696	0.714524793388	0.78377764015
RF_ica_emvar-COHphs	0.534799586777	0.941404243952	0.68808677686	0.655858485882	0.770730027548	0.849400395356	0.425847107438	0.75587156314
RF_csp_emvar-eS	0.600111570248	0.860613498905	0.716766528926	0.628064711783	0.881231404959	0.73366584396	0.609400826446	0.759662354344
RF_ica_lmom-1	0.39695661157	0.859933106588	0.524636363636	0.55794363963	0.618250688705	0.480419294758	0.625351239669	0.661644646298
SVC_ica_PSDlogfcorrcoefeig	0.618404958678	0.768821130579	0.536632231405	0.565009314524	0.73867768595	0.542413672928	0.33520661157	0.673650334893
XT_csp_psd_logf	0.602320247934	0.787786474747	0.770626033058	0.638633247686	0.869595041322	0.829112676539	0.652417355372	0.762733507661
RF_csp_PSDcorrcoef	0.57542768595	0.816359303546	0.642925619835	0.662434973289	0.850592286501	0.854716566114	0.434772727273	0.739646450745
SVC_csp_phase-alpha-dif	0.629768595041	0.864827025538	0.69920661157	0.664910337289	0.791079889807	0.945048619681	0.594132231405	0.769580389638
AB_ica_ampcorrcoef-alpha-eig	0.597045454545	0.693935007545	0.599262396694	0.705392593037	0.71370523416	0.713323849353	0.543243801653	0.60010490259
RF_csp_mvar-DTFphs	0.544142561983	0.78034118322	0.69791322314	0.753255817829	0.820107438017	0.822271070433	0.441962809917	0.754335948252
SVC_ica_lmom-5	0.633958677686	0.829896251019	0.750506198347	0.564070997004	0.734876033058	0.731823323735	0.637768595041	0.738253738875
AB_csp_PSDlogfcorrcoef	0.543004132231	0.873192670932	0.814584710744	0.639868796843	0.894325068871	0.775016854061	0.707520661157	0.669367373154
AB_ica_xcorr-ypeak	0.763128099174	0.922065251004	0.690966942149	0.683613035668	0.935845730028	0.683229352347	0.550371900826	0.668265437196
AB_ica_xcorr-twidth	0.641634297521	0.837819173022	0.655638429752	0.717640542675	0.868966942149	0.622496172129	0.514152892562	0.634829800899
SVC_ica_phase-alpha-dif	0.557252066116	0.916514975336	0.663797520661	0.628955906808	0.903977961433	0.867369966635	0.589958677686	0.789614643545
AB_csp_ampcorrcoef-theta	0.604834710744	0.715077360606	0.82029338843	0.651983010574	0.579964187328	0.842186000274	0.51	0.606562452213
XT_ica_emvar-P	0.563900826446	0.835987167406	0.717216942149	0.65791424639	0.889581267218	0.864414792724	0.575888429752	0.778710126311
RF_csp_emvar-ePCOHphs	0.521592975207	0.895494624506	0.646727272727	0.688413031669	0.787798898072	0.809366287307	0.553760330579	0.754388628926
XT_ica_mvar-Hphs	0.619378099174	0.864899797933	0.726033057851	0.712679150462	0.82041046832	0.823095205448	0.572148760331	0.779767027556
SVC_csp_pib_ratio	0.701123966942	0.951810573257	0.878826446281	0.740786519101	0.840749311295	0.881328842726	0.756239669421	0.837878245711
SVC_csp_var	0.624876033058	0.867024766675	0.734190082645	0.578140694307	0.927983471074	0.554541455277	0.63520661157	0.762661023947
XT_csp_lmom-5	0.607564049587	0.705161406807	0.653369834711	0.591942586538	0.590834710744	0.742538507244	0.398595041322	0.672980242836
SVC_ica_ilingam-connweights	0.528826446281	0.801359759114	0.692696280992	0.63008847965	0.76320661157	0.753102289867	0.307685950413	0.744685827446
AB_ica_ilingam-causalindex	0.629049586777	0.644408264775	0.614809917355	0.5609984037	0.524845730028	0.405524418392	0.418884297521	0.527305257363
XT_csp_FFT	0.57532231405	0.797223491521	0.612338842975	0.58754233193	0.582261707989	0.548219754102	0.601756198347	0.691040615347
RF_ica_ampcorrcoef-delta-eig	0.543657024793	0.583179784893	0.726925619835	0.647412028567	0.704435261708	0.830880924631	0.505	0.696723017402
SVC_csp_ampcorrcoef-delta-eig	0.618446280992	0.6077294983	0.82026446281	0.606740982907	0.700622589532	0.643280942913	0.412190082645	0.687162354344
SVC_ica_PSDcorrcoefeig	0.386384297521	0.533504169326	0.635053719008	0.649703901436	0.412567493113	0.819098793363	0.310371900826	0.626615744564
XT_csp_act	0.534888429752	0.749259407755	0.688989669421	0.712621430404	0.803129476584	0.775502479547	0.647045454545	0.723452304493
RF_ica_FFT	0.56970661157	0.778480729317	0.497776859504	0.550506816765	0.556887052342	0.438152737785	0.550847107438	0.661608175062
AB_ica_phase-low_gamma-dif	0.594202479339	0.98409038154	0.734256198347	0.758747354775	0.814495867769	0.734047202797	0.506714876033	0.703552695966
RF_csp_emvar-PCOH	0.615194214876	0.863008751028	0.766504132231	0.675334972956	0.845650137741	0.827352998309	0.548016528926	0.789571290944
XT_csp_mvar-COH	0.601039256198	0.910969876567	0.705369834711	0.59513721844	0.868694214876	0.850790141231	0.661053719008	0.788999755329
RF_ica_emvar-PCOHphs	0.577417355372	0.895776099849	0.691648760331	0.639973739373	0.839399449036	0.834938754056	0.608450413223	0.785965379087
SVC_csp_PSDcorrcoef	0.71532231405	0.866188894854	0.767756198347	0.731834578047	0.885595041322	0.88719348462	0.487975206612	0.804129124996
XT_ica_ampcorrcoef-beta-eig	0.464832644628	0.555160711623	0.572818181818	0.654484701852	0.748796143251	0.73309880479	0.509524793388	0.672092776096
SVC_csp_PSDlogfcorrcoefeig	0.469904958678	0.621564684404	0.662739669421	0.624722980381	0.688292011019	0.606896167558	0.21826446281	0.6647900419
SVC_csp_act	0.474128099174	0.947203306549	0.725152892562	0.722320732898	0.832435261708	0.744135358106	0.707024793388	0.779814050219
XT_ica_emvar-eDC	0.561508264463	0.809820708736	0.663648760331	0.62445817462	0.769035812672	0.842458807532	0.397024793388	0.725600666728
RF_csp_phase-beta-sync	0.641030991736	0.835902216975	0.625696280992	0.661142503891	0.830561983471	0.908482448924	0.503367768595	0.759903890265
AB_ica_psd_logfBB	0.548376033058	0.912744196747	0.726553719008	0.766075002749	0.785438016529	0.621999120161	0.623450413223	0.682921751231
RF_ica_pib_ratio	0.604576446281	0.815859313802	0.787225206612	0.729052184664	0.753694214876	0.911171957128	0.549648760331	0.763268419121
RF_ica_mvar-DTF	0.488142561983	0.896605266355	0.727675619835	0.6466297085	0.825710743802	0.793921968554	0.505144628099	0.755568324311
XT_ica_pwling2	0.546328512397	0.669595969238	0.686359504132	0.637152788192	0.823303030303	0.571876856803	0.553326446281	0.701382007524
SVC_csp_ampcorrcoef-theta-eig	0.651983471074	0.688810913848	0.575524793388	0.77963455072	0.611652892562	0.629392054024	0.695537190083	0.693872526531
XT_ica_lmom-3	0.541756198347	0.761325450577	0.626417355372	0.615072133409	0.658231404959	0.727436982952	0.694256198347	0.706561305319
RF_csp_FFT	0.565650826446	0.795727244723	0.534359504132	0.514599175523	0.554884297521	0.522295923031	0.574152892562	0.656497920298
XT_csp_spearman	0.696865702479	0.901405532753	0.678185950413	0.564960459094	0.850107438017	0.748798791078	0.435123966942	0.740500963391
RF_csp_phase-theta-sync	0.540010330579	0.782652249121	0.681865702479	0.569183821054	0.840738292011	0.914137129211	0.308884297521	0.729546135731
RF_csp_emvar-eDC	0.483099173554	0.783682451834	0.643626033058	0.624018375774	0.74073553719	0.804869966635	0.324690082645	0.694719010918
XT_csp_phase-delta-dif	0.605411157025	0.787258850228	0.635867768595	0.670251175563	0.751140495868	0.841778931852	0.312603305785	0.722391580267
SVC_ica_ampcorrcoef-low_gamma	0.483615702479	0.897447646276	0.714599173554	0.72508013157	0.88714600551	0.685990276064	0.642148760331	0.773446034804
XT_csp_emvar-DCphs	0.555229338843	0.811324129236	0.70226446281	0.705283151542	0.816986225895	0.861972382193	0.45673553719	0.753848518213
