	Dog_1	Dog_2	Dog_3	Dog_4	Dog_5	Patient_1	Patient_2	all
SVC__combo_pbg_test0.1,train0.05	0.999880165289	0.981585724304	0.983590909091	0.985651833412	0.994148760331	1.0	1.0	0.99409670612
SVC__combo_pbg_test0.25,train20	0.99979338843	0.998950716719	0.999851239669	0.994809527142	0.995239669421	0.942241990036	0.999297520661	0.996069058323
SVC__combo_pbg_test0.1,train20	0.999925619835	0.956080725294	0.985789256198	0.983105885646	0.990903581267	1.0	1.0	0.991813545585
SVC__combo_pbg_test0.25,train0.05	1.0	0.998405860525	0.999898760331	1.0	0.999988980716	0.97504313497	0.998140495868	0.999374789736
SVC__combo_pbg_test0.05,train0.05	0.943202479339	0.967623753502	0.76626446281	0.991247213141	0.990909090909	0.987302321861	0.994628099174	0.957749870019
SVC__combo_pbg_test0.05,train0.1	0.997991735537	0.955156427124	0.92947107438	0.994666360071	0.999504132231	0.998326020385	0.999008264463	0.987127106462
SVC__combo_pbg_test0.1,train0.1	0.999950413223	0.996545036844	0.996173553719	0.978621383748	0.998429752066	1.0	1.0	0.997094228828
SVC__combo_pbg_test120,train0.1	0.975966942149	0.976068432873	0.750004132231	0.994259653613	0.974110192837	0.96614047717	0.996363636364	0.96247423311
SVC__combo_pbg_test0.333,train0.05	1.0	0.9998660416	0.999979338843	1.0	0.999944903581	0.983980072215	0.998099173554	0.999714193963
SVC__combo_pbg_test0.333,train0.1	1.0	1.0	1.0	1.0	1.0	0.983064525344	0.997851239669	0.999764657308
SVC__combo_pbg_test120,train20	0.993636363636	0.982067570254	0.792950413223	0.995550223449	0.974892561983	0.988336418483	0.997438016529	0.973564547206
SVC__combo_pbg_test120,train0.25	0.998553719008	0.984425351497	0.820121900826	0.989300394243	0.988674931129	0.98474278989	0.997851239669	0.980713903416
SVC__combo_pbg_test0.25,train0.1	1.0	0.999992949558	0.999925619835	1.0	1.0	0.973870492253	0.999338842975	0.999535584304
SVC__combo_pbg_test0.5,train0.05	1.0	1.0	1.0	0.999448126931	1.0	0.979238082179	0.958553719008	0.999194650885
SVC__combo_pbg_test0.5,train0.1	1.0	1.0	1.0	1.0	0.999818181818	0.98820215732	1.0	0.999865736918
SVC__combo_pbg_test120,train0.333	0.996884297521	0.98372153988	0.77417768595	0.9819518844	0.995955922865	0.99041603821	0.998595041322	0.977426369392
SVC__combo_pbg_test0.333,train20	1.0	0.998635616191	0.99532231405	0.999793714112	0.987013774105	0.895836189954	0.961570247934	0.992698871456
SVC__combo_pbg_test0.5,train20	1.0	1.0	0.998516528926	0.999916019316	1.0	0.975718725719	0.981280991736	0.999196715295
SVC__combo_pbg_test0.25,train0.25	1.0	0.999985899116	0.999888429752	1.0	1.0	0.91402143608	1.0	0.999309263847
SVC__combo_pbg_test120,train0.05	0.939247933884	0.987266605714	0.638512396694	0.989293362527	0.954429752066	0.990790255496	0.993760330579	0.945613282564
