	Dog_1	Dog_2	Dog_3	Dog_4	Dog_5	Patient_1	Patient_2	all
SVC_csp_coher_logf_best_overall	0.697495867769	0.987574212066	0.883644628099	0.73885926237	0.944126721763	0.910156428539	0.698347107438	0.874268893171
SVC_linear_csp_coher_logf_best_overall	0.67755785124	0.993958412055	0.87519214876	0.761638656442	0.971134986226	0.699539227113	0.464090909091	0.825974095483
SVC_C10_csp_coher_logf_best_overall	0.675995867769	0.9884421067	0.859212809917	0.739111137772	0.972132231405	0.914409936469	0.69632231405	0.865407070985
SVC_csp_logfcorrcoefeig_best_discriminate	0.469904958678	0.621564684404	0.662739669421	0.624722980381	0.688292011019	0.606896167558	0.21826446281	0.6647900419
SVC_csp_logfcorrcoefeig_best_discriminate_v2	0.469904958678	0.621564684404	0.662739669421	0.624722980381	0.688292011019	0.606896167558	0.259297520661	0.671180230602
SVC_csp_logfcorrcoefeig_best_discriminate_with_fs	0.479185950413	0.569013573136	0.653061983471	0.659139264636	0.76138292011	0.612672254216	0.349049586777	0.632409854115
7be48f6bca99676720e60c83adffb7e1	0.495574380165	0.570168563745	0.571995867769	0.723371557875	0.695344352617	0.468020133461	0.541157024793	0.680377557574
7be48f6bca99676720e60c83adffb7e1	0.495574380165	0.570168563745	0.571995867769	0.723371557875	0.695344352617	0.468020133461	0.280330578512	0.666848411169
SVC_best_for_each_subject_in_batchall_linear_kernel	0.627969008264	1.0	0.874702479339	0.793086323479	0.983550964187	0.675277949175	0.409008264463	0.827779154051
SVC_best_for_each_subject_in_batchall_with_FS	0.628723140496	0.995495161918	0.889429752066	0.772317200377	0.98061707989	0.916032496915	0.628533057851	0.872194085084
SVC_best_for_each_subject_in_batchall	0.598892561983	0.990166999829	0.895731404959	0.767133992515	0.979526170799	0.892236848119	0.538016528926	0.86975043582
SVC_best_for_each_subject_in_batchall_linear_kernel_with_Fs	0.633241735537	0.999906026974	0.875299586777	0.797827699629	0.983749311295	0.704369772384	0.435950413223	0.835947716916
SVC_best_for_each_subject_in_batchall_with_FS_highC	0.630301652893	0.995973803121	0.862295454545	0.782108215111	0.98276584022	0.91300162256	0.618801652893	0.87098648194
SVC_best_for_each_subject_in_batchall_with_FS_3000	0.637551652893	0.995525730268	0.880704545455	0.773916632508	0.98103030303	0.913191587824	0.641487603306	0.871365109949
best_feats_combo_7	0.753776859504	0.891837047421	0.898876033058	0.714985053438	0.887707988981	0.893785136432	0.670909090909	0.840221121204
best_feats_combo_5	0.736243801653	0.995643393765	0.883698347107	0.773818188483	0.95658953168	0.895849044746	0.732561983471	0.888216273664
best_feats_combo_3	0.774752066116	0.996154501515	0.807367768595	0.651207322316	0.882079889807	0.951256056035	0.494628099174	0.854869483439
best_feats_combo_17	0.809915289256	0.979135177979	0.884409090909	0.696344807361	0.892022038567	0.921770019196	0.623595041322	0.871264565556
best_feats_combo_24	0.827090909091	0.984284219395	0.782636363636	0.767765413955	0.870157024793	0.912818798848	0.759297520661	0.861233828792
best_feats_combo_33	0.767770661157	0.998920394888	0.746022727273	0.765405823327	0.933914600551	0.891574112162	0.762561983471	0.857124353916
best_feats_combo_18	0.837173553719	0.973313780765	0.815407024793	0.747942473231	0.867435261708	0.896201837378	0.768099173554	0.862314967734
best_feats_combo_40	0.830524793388	0.97700998737	0.822935950413	0.759227844262	0.877818181818	0.90766688377	0.786446280992	0.866994372572
best_feats_combo_43	0.785247933884	0.999140881441	0.739851239669	0.750927286724	0.92123415978	0.909178036016	0.760640495868	0.857435544545
best_feats_combo_47	0.752826446281	0.997374375913	0.784911157025	0.754236125691	0.937785123967	0.893593742858	0.755991735537	0.864140670398
best_feats_combo_7	0.747960743802	0.892440131393	0.898628099174	0.707383235189	0.884716253444	0.897098816216	0.670619834711	0.837243860293
best_feats_combo_3	0.773020661157	0.996214405621	0.802787190083	0.649867297188	0.867625344353	0.95150886695	0.470743801653	0.849545065297
best_feats_combo_5	0.73207231405	0.996753246753	0.881214876033	0.761350789318	0.956903581267	0.894203631336	0.727851239669	0.885635685231
best_feats_combo_17	0.804446280992	0.981605297909	0.888512396694	0.69806781107	0.911300275482	0.916478129713	0.61541322314	0.872805226779
best_feats_combo_14	0.817169421488	0.968643725678	0.769345041322	0.780528278496	0.874038567493	0.907945404269	0.749090909091	0.854396810105
best_feats_combo_33	0.771132231405	0.99893212919	0.730973140496	0.769474387558	0.926297520661	0.894062228621	0.752809917355	0.855291005291
