	Dog_1	Dog_2	Dog_3	Dog_4	Dog_5	Patient_1	Patient_2	all
"[""cln,raw,dwn_feat_mvar-COHphs_"", ""cln,ica,dwn_feat_ampcorrcoef-beta-eig_""]"	0.368095041322	0.651863638927	0.729280991736	0.797669402704	0.853553719008	0.705105352164	0.390661157025	0.698840260574
"[""cln,ica,dwn_feat_FFT_"", ""cln,raw,dwn_feat_PSDcorrcoefeig_""]"	0.484012396694	0.662548830475	0.624520661157	0.653716545195	0.491829201102	0.707716303305	0.738884297521	0.691108970242
"[""cln,raw,dwn_feat_ilingam-causalorder_"", ""cln,raw,dwn_feat_FFT_""]"	0.600772727273	0.504994227512	0.492338842975	0.586149585595	0.498980716253	0.458194787239	0.532975206612	0.667002171453
"[""cln,raw,dwn_feat_ilingam-causalindex_"", ""cln,raw,dwn_feat_PSDcorrcoefeig_""]"	0.483109504132	0.640607854607	0.600979338843	0.713419846769	0.609851239669	0.683290769688	0.665454545455	0.684733997003
"[""cln,raw,dwn_feat_mvar-COHphs_"", ""cln,ica,dwn_feat_PSDcorrcoefeig_""]"	0.386384297521	0.533504169326	0.635053719008	0.649703901436	0.412567493113	0.819098793363	0.304173553719	0.624025216381
"[""cln,ica,dwn_feat_PSDcorrcoefeig_"", ""cln,raw,dwn_feat_ilingam-causalindex_""]"	0.507882231405	0.491852302014	0.607818181818	0.73272117413	0.572170798898	0.837859648521	0.363099173554	0.65108947304
"[""cln,csp,dwn_feat_ilingam-causalorder_"", ""cln,raw,dwn_feat_ilingam-causalorder_""]"	0.682289256198	0.465505662639	0.502797520661	0.606925673762	0.539123966942	0.42252702363	0.498099173554	0.682326742515
"[""cln,raw,dwn_feat_PSDcorrcoefeig_"", ""cln,csp,dwn_feat_PSDlogfcorrcoefeig_""]"	0.498888429752	0.73539195232	0.700582644628	0.685645701489	0.593966942149	0.748960190137	0.56652892562	0.722754228217
"[""cln,raw,dwn_feat_PSDcorrcoefeig_"", ""cln,ica,dwn_feat_PSDcorrcoefeig_""]"	0.483061983471	0.667401112372	0.623243801653	0.662529818142	0.434859504132	0.824883449883	0.582685950413	0.686317704988
"[""cln,csp,dwn_feat_PSDlogfcorrcoefeig_"", ""cln,ica,dwn_feat_PSDcorrcoefeig_""]"	0.53332231405	0.648695229405	0.621694214876	0.641561440869	0.581696969697	0.765281491384	0.264628099174	0.654335260116
