clip,preictal
Dog_4_test_segment_0047.mat,1.0
Dog_4_test_segment_0369.mat,1.0
Dog_1_test_segment_0264.mat,0.999999999999
Dog_2_test_segment_0925.mat,1.0
Dog_2_test_segment_0484.mat,1.0
Dog_1_test_segment_0267.mat,1.0
Dog_4_test_segment_0208.mat,1.0
Patient_1_test_segment_0089.mat,0.999999999669
Dog_2_test_segment_0131.mat,1.0
Dog_1_test_segment_0360.mat,0.999999999931
Dog_2_test_segment_0114.mat,1.0
Dog_4_test_segment_0714.mat,1.0
Dog_2_test_segment_0077.mat,1.0
Dog_2_test_segment_0655.mat,1.0
Dog_1_test_segment_0450.mat,3.73844474601e-08
Dog_4_test_segment_0591.mat,1.0
Dog_3_test_segment_0422.mat,1.0
Dog_2_test_segment_0183.mat,1.0
Dog_5_test_segment_0124.mat,1.0
Patient_1_test_segment_0185.mat,0.999999999772
Dog_4_test_segment_0671.mat,1.0
Patient_2_test_segment_0142.mat,0.999999992028
Dog_1_test_segment_0085.mat,0.0585854717357
Dog_4_test_segment_0522.mat,1.0
Dog_1_test_segment_0254.mat,1.0
Dog_4_test_segment_0508.mat,1.0
Dog_4_test_segment_0309.mat,1.0
Dog_1_test_segment_0449.mat,0.999999998661
Dog_3_test_segment_0856.mat,1.0
Dog_3_test_segment_0350.mat,1.0
Patient_1_test_segment_0112.mat,0.999999999579
Dog_2_test_segment_0268.mat,1.0
Dog_4_test_segment_0565.mat,1.0
Dog_4_test_segment_0894.mat,1.0
Dog_4_test_segment_0267.mat,1.0
Dog_3_test_segment_0757.mat,1.0
Dog_2_test_segment_0719.mat,1.0
Dog_2_test_segment_0741.mat,1.0
Dog_3_test_segment_0232.mat,1.0
Dog_2_test_segment_0383.mat,1.0
Dog_3_test_segment_0860.mat,1.0
Dog_1_test_segment_0135.mat,0.999997071956
Dog_2_test_segment_0577.mat,1.0
Dog_5_test_segment_0118.mat,1.0
Dog_4_test_segment_0985.mat,1.0
Dog_4_test_segment_0101.mat,1.0
Dog_2_test_segment_0555.mat,1.0
Dog_2_test_segment_0503.mat,1.0
Dog_1_test_segment_0260.mat,1.45793451126e-13
Dog_4_test_segment_0560.mat,1.0
Dog_4_test_segment_0114.mat,1.0
Patient_1_test_segment_0123.mat,0.999999999999
Dog_4_test_segment_0395.mat,1.0
Dog_4_test_segment_0752.mat,1.0
Dog_1_test_segment_0247.mat,1.0
Dog_2_test_segment_0158.mat,1.0
Dog_5_test_segment_0165.mat,1.0
Dog_1_test_segment_0440.mat,1.0520868006e-14
Patient_1_test_segment_0182.mat,0.999999999988
Dog_1_test_segment_0334.mat,1.0
Dog_3_test_segment_0575.mat,1.0
Dog_3_test_segment_0036.mat,1.0
Dog_3_test_segment_0485.mat,1.0
Dog_5_test_segment_0176.mat,1.0
