clip,preictal
Dog_1_test_segment_0299.mat,0.019
Dog_1_test_segment_0144.mat,0.04
Dog_1_test_segment_0115.mat,0.093
Dog_1_test_segment_0240.mat,0.029
Dog_1_test_segment_0476.mat,0.037
Dog_1_test_segment_0156.mat,0.043
Dog_1_test_segment_0413.mat,0.032
Dog_1_test_segment_0421.mat,0.154
Dog_1_test_segment_0244.mat,0.009
Dog_1_test_segment_0451.mat,0.472
Dog_1_test_segment_0307.mat,0.184
Dog_1_test_segment_0267.mat,0.022
Dog_1_test_segment_0385.mat,0.109
Dog_1_test_segment_0205.mat,0.031
Dog_1_test_segment_0018.mat,0.025
Dog_1_test_segment_0077.mat,0.124
Dog_1_test_segment_0038.mat,0.1
Dog_1_test_segment_0434.mat,0.054
Dog_1_test_segment_0288.mat,0.149
Dog_1_test_segment_0301.mat,0.083
Dog_1_test_segment_0167.mat,0.124
Dog_1_test_segment_0367.mat,0.27
Dog_1_test_segment_0161.mat,0.143
Dog_1_test_segment_0415.mat,0.007
Dog_1_test_segment_0015.mat,0.11
Dog_1_test_segment_0357.mat,0.167
Dog_1_test_segment_0273.mat,0.092
Dog_1_test_segment_0237.mat,0.026
Dog_1_test_segment_0496.mat,0.047
Dog_1_test_segment_0260.mat,0.127
Dog_1_test_segment_0375.mat,0.036
Dog_1_test_segment_0291.mat,0.015
Dog_1_test_segment_0390.mat,0.078
Dog_1_test_segment_0159.mat,0.07
Dog_1_test_segment_0480.mat,0.128
Dog_1_test_segment_0147.mat,0.077
Dog_1_test_segment_0281.mat,0.069
Dog_1_test_segment_0448.mat,0.039
Dog_1_test_segment_0297.mat,0.018
Dog_1_test_segment_0363.mat,0.022
Dog_1_test_segment_0460.mat,0.079
Dog_1_test_segment_0110.mat,0.042
Dog_1_test_segment_0382.mat,0.102
Dog_1_test_segment_0374.mat,0.039
Dog_1_test_segment_0046.mat,0.037
Dog_1_test_segment_0247.mat,0.122
Dog_1_test_segment_0444.mat,0.122
Dog_1_test_segment_0259.mat,0.193
Dog_1_test_segment_0140.mat,0.02
Dog_1_test_segment_0087.mat,0.02
Dog_1_test_segment_0486.mat,0.026
Dog_1_test_segment_0180.mat,0.129
Dog_1_test_segment_0086.mat,0.07
Dog_1_test_segment_0322.mat,0.135
Dog_1_test_segment_0005.mat,0.048
Dog_1_test_segment_0033.mat,0.012
Dog_1_test_segment_0132.mat,0.192
Dog_1_test_segment_0056.mat,0.016
Dog_1_test_segment_0303.mat,0.095
Dog_1_test_segment_0160.mat,0.011
Dog_1_test_segment_0379.mat,0.041
Dog_1_test_segment_0164.mat,0.125
Dog_1_test_segment_0198.mat,0.034
Dog_1_test_segment_0188.mat,0.083
Dog_1_test_segment_0118.mat,0.199
Dog_1_test_segment_0376.mat,0.206
Dog_1_test_segment_0079.mat,0.245
Dog_1_test_segment_0453.mat,0.086
Dog_1_test_segment_0221.mat,0.037
Dog_1_test_segment_0300.mat,0.016
Dog_1_test_segment_0006.mat,0.035
Dog_1_test_segment_0380.mat,0.081
Dog_1_test_segment_0098.mat,0.017
Dog_1_test_segment_0016.mat,0.023
Dog_1_test_segment_0183.mat,0.138
Dog_1_test_segment_0206.mat,0.02
Dog_1_test_segment_0007.mat,0.026
Dog_1_test_segment_0272.mat,0.01
Dog_1_test_segment_0002.mat,0.008
Dog_1_test_segment_0403.mat,0.045
Dog_1_test_segment_0214.mat,0.039
Dog_1_test_segment_0170.mat,0.237
Dog_1_test_segment_0282.mat,0.034
Dog_1_test_segment_0019.mat,0.021
Dog_1_test_segment_0010.mat,0.036
Dog_1_test_segment_0207.mat,0.198
Dog_1_test_segment_0092.mat,0.113
Dog_1_test_segment_0498.mat,0.154
Dog_1_test_segment_0181.mat,0.091
Dog_1_test_segment_0389.mat,0.097
Dog_1_test_segment_0405.mat,0.05
Dog_1_test_segment_0472.mat,0.027
Dog_1_test_segment_0330.mat,0.022
Dog_1_test_segment_0426.mat,0.01
Dog_1_test_segment_0071.mat,0.056
Dog_1_test_segment_0395.mat,0.058
Dog_1_test_segment_0471.mat,0.014
Dog_1_test_segment_0318.mat,0.015
Dog_1_test_segment_0186.mat,0.08
Dog_1_test_segment_0213.mat,0.119
Dog_1_test_segment_0200.mat,0.041
Dog_1_test_segment_0013.mat,0.251
Dog_1_test_segment_0097.mat,0.05
Dog_1_test_segment_0331.mat,0.018
Dog_1_test_segment_0441.mat,0.015
Dog_1_test_segment_0152.mat,0.048
Dog_1_test_segment_0034.mat,0.24
Dog_1_test_segment_0012.mat,0.019
Dog_1_test_segment_0489.mat,0.115
Dog_1_test_segment_0234.mat,0.009
Dog_1_test_segment_0043.mat,0.097
Dog_1_test_segment_0230.mat,0.085
Dog_1_test_segment_0386.mat,0.158
Dog_1_test_segment_0041.mat,0.034
Dog_1_test_segment_0418.mat,0.348
Dog_1_test_segment_0309.mat,0.036
Dog_1_test_segment_0257.mat,0.03
Dog_1_test_segment_0402.mat,0.013
Dog_1_test_segment_0171.mat,0.033
Dog_1_test_segment_0194.mat,0.029
Dog_1_test_segment_0253.mat,0.04
Dog_1_test_segment_0185.mat,0.016
Dog_1_test_segment_0325.mat,0.045
Dog_1_test_segment_0127.mat,0.099
Dog_1_test_segment_0352.mat,0.025
Dog_1_test_segment_0347.mat,0.116
Dog_1_test_segment_0457.mat,0.145
Dog_1_test_segment_0340.mat,0.2
Dog_1_test_segment_0072.mat,0.085
Dog_1_test_segment_0119.mat,0.018
Dog_1_test_segment_0469.mat,0.146
Dog_1_test_segment_0327.mat,0.045
Dog_1_test_segment_0057.mat,0.108
Dog_1_test_segment_0373.mat,0.068
Dog_1_test_segment_0372.mat,0.109
Dog_1_test_segment_0114.mat,0.096
Dog_1_test_segment_0384.mat,0.459
Dog_1_test_segment_0150.mat,0.068
Dog_1_test_segment_0094.mat,0.176
Dog_1_test_segment_0191.mat,0.12
Dog_1_test_segment_0028.mat,0.119
Dog_1_test_segment_0158.mat,0.069
Dog_1_test_segment_0141.mat,0.103
Dog_1_test_segment_0490.mat,0.095
Dog_1_test_segment_0305.mat,0.119
